ref,context,premise,example,judgment,comment,index
basque-modal-evid1,epi-nec-1,na,basque-modal-1,felicitous,,1
basque-modal-evid2,epi-nec-2,na,basque-modal-2,felicitous,,2
basque-modal-evid3,epi-nec-3,na,basque-modal-3,felicitous,,3
basque-modal-evid4,epi-nec-4,na,basque-modal-4,felicitous,,4
basque-modal-evid4b,epi-nec-4,na,basque-modal-4b,felicitous,,5
basque-modal-evid5,epi-wn-1,na,basque-modal-5,felicitous,,6
basque-modal-evid5b,epi-wn-1,na,basque-modal-5b,infelicitous,,7
basque-modal-evid6,epi-wn-2,na,basque-modal-6,infelicitous,,8
basque-modal-evid6b,epi-wn-2,na,basque-modal-6b,felicitous,,9
basque-modal-evid7,epi-pos-1,na,basque-modal-7,felicitous,,10
basque-modal-evid7b,epi-pos-1,na,basque-modal-7b,infelicitous,,11
basque-modal-evid8,epi-pos-2,na,basque-modal-8,felicitous,,12
basque-modal-evid9,epi-pos-3,na,basque-modal-9,felicitous,,13
basque-modal-evid9b,epi-pos-3,na,basque-modal-9b,ungrammatical,,14
basque-modal-evid10,epi-pos-4,na,basque-modal-10,felicitous,,15
basque-modal-evid11,epi-nnec-1,na,basque-modal-11,felicitous,,16
basque-modal-evid11b,epi-nnec-1,na,basque-modal-11b,felicitous,,17
basque-modal-evid11c,epi-nnec-1,na,basque-modal-11c,ungrammatical,,18
basque-modal-evid12,epi-imp-1,na,basque-modal-12,felicitous,,19
basque-modal-evid13,deo-nec-1,na,basque-modal-13,felicitous,,20
basque-modal-evid14,deo-nec-2,na,basque-modal-14,felicitous,,21
basque-modal-evid15,deo-wn-1,na,basque-modal-15,felicitous,,22
basque-modal-evid16,deo-wn-2,na,basque-modal-16,felicitous,,23
basque-modal-evid16b,deo-wn-2,na,basque-modal-16b,felicitous,,24
basque-modal-evid16c,deo-wn-2,na,basque-modal-16c,infelicitous,,25
basque-modal-evid17,deo-wn-3,na,basque-modal-17,felicitous,,26
basque-modal-evid18,deo-pos-1,na,basque-modal-18,felicitous,,27
basque-modal-evid18b,deo-pos-1,na,basque-modal-18b,felicitous,,28
basque-modal-evid19,deo-pos-2,na,basque-modal-19,felicitous,,29
basque-modal-evid19b,deo-pos-2,na,basque-modal-19b,felicitous,,30
basque-modal-evid20,deo-pos-3,na,basque-modal-20,felicitous,,31
basque-modal-evid20b,deo-pos-3,na,basque-modal-20b,felicitous,,32
basque-modal-evid21,deo-pos-4,na,basque-modal-21,felicitous,,33
basque-modal-evid21b,deo-pos-4,na,basque-modal-21b,felicitous,,34
basque-modal-evid21c,deo-pos-4,na,basque-modal-21c,infelicitous,,35
basque-modal-evid22,deo-pos-5,na,basque-modal-22,felicitous,,36
basque-modal-evid22b,deo-pos-5,na,basque-modal-22b,infelicitous,,37
basque-modal-evid23,deo-nnec-1,na,basque-modal-23,felicitous,,38
basque-modal-evid23b,deo-nnec-1,na,basque-modal-23b,infelicitous,,39
basque-modal-evid23c,deo-nnec-1,na,basque-modal-23c,felicitous,,40
basque-modal-evid24,deo-nnec-2,na,basque-modal-24,felicitous,,41
basque-modal-evid25,deo-imp-1,na,basque-modal-25,felicitous,,42
basque-modal-evid25b,deo-imp-1,na,basque-modal-25b,felicitous,,43
basque-modal-evid26,deo-imp-2,na,basque-modal-26,felicitous,,44
basque-modal-evid26b,deo-imp-2,na,basque-modal-26b,infelicitous,,45
basque-modal-evid27,tel-nec-1,na,basque-modal-27,felicitous,,46
basque-modal-evid28,tel-nec-2,na,basque-modal-28,felicitous,,47
basque-modal-evid28b,tel-nec-2,na,basque-modal-28b,felicitous,,48
basque-modal-evid29,tel-nec-3,na,basque-modal-29,felicitous,,49
basque-modal-evid29b,tel-nec-3,na,basque-modal-29b,ungrammatical,,50
basque-modal-evid30,tel-nec-4,na,basque-modal-30,felicitous,,51
basque-modal-evid30b,tel-nec-4,na,basque-modal-30b,infelicitous,,52
basque-modal-evid31,deo-nec-3,na,basque-modal-31,felicitous,,53
basque-modal-evid31b,deo-nec-3,na,basque-modal-31b,infelicitous,,54
basque-modal-evid32,tel-wn-1,na,basque-modal-32,felicitous,,55
basque-modal-evid32b,tel-wn-1,na,basque-modal-32b,felicitous,marginally acceptable,56
basque-modal-evid33,tel-wn-2,na,basque-modal-33,felicitous,,57
basque-modal-evid34,tel-wn-3,na,basque-modal-34,felicitous,,58
basque-modal-evid35,tel-pos-1,na,basque-modal-35,felicitous,preferred,59
basque-modal-evid35b,tel-pos-1,na,basque-modal-35b,felicitous,,60
basque-modal-evid36,tel-pos-2,na,basque-modal-36,felicitous,preferred,61
basque-modal-evid36b,tel-pos-2,na,basque-modal-36b,felicitous,,62
basque-modal-evid37,tel-pos-3,na,basque-modal-37,felicitous,preferred,63
basque-modal-evid37b,tel-pos-3,na,basque-modal-37b,felicitous,,64
basque-modal-evid38,tel-nnec-1,na,basque-modal-38,felicitous,,65
basque-modal-evid39,tel-imp-1,na,basque-modal-39,felicitous,,66
basque-modal-evid40,tel-imp-2,na,basque-modal-40,felicitous,,67
basque-modal-evid41,cir-nec-1,na,basque-modal-41,felicitous,,68
basque-modal-evid42,cir-nec-2,na,basque-modal-42,felicitous,,69
basque-modal-evid43,cir-nec-3,na,basque-modal-43,felicitous,,70
basque-modal-evid44,cir-pos-1,na,basque-modal-44,felicitous,,71
basque-modal-evid44b,cir-pos-1,na,basque-modal-44b,felicitous,,72
basque-modal-evid44c,cir-pos-1,na,basque-modal-44c,felicitous,,73
basque-modal-evid45,cir-pos-2,na,basque-modal-45,felicitous,,74
basque-modal-evid45b,cir-pos-2,na,basque-modal-45b,felicitous,,75
basque-modal-evid45c,cir-pos-2,na,basque-modal-45c,felicitous,least preferred,76
basque-modal-evid46,cir-pos-3,na,basque-modal-46,felicitous,,77
basque-modal-evid46b,cir-pos-3,na,basque-modal-46b,infelicitous,,78
basque-modal-evid46c,cir-pos-3,na,basque-modal-46c,felicitous,,79
basque-modal-evid46d,cir-pos-3,na,basque-modal-46d,felicitous,marginally acceptable; least preferred,80
basque-modal-evid47,cir-pos-4,na,basque-modal-47,felicitous,,81
basque-modal-evid47b,cir-pos-4,na,basque-modal-47b,felicitous,,82
basque-modal-evid47c,cir-pos-4,na,basque-modal-47c,felicitous,least preferred,83
basque-modal-evid48,cir-pos-5,na,basque-modal-48,felicitous,,84
basque-modal-evid48b,cir-pos-5,na,basque-modal-48b,felicitous,,85
basque-modal-evid49,cir-nnec-1,na,basque-modal-49,felicitous,,86
basque-modal-evid49b,cir-nnec-1,na,basque-modal-49b,felicitous,,87
basque-modal-evid49c,cir-nnec-1,na,basque-modal-49c,infelicitous,,88
basque-modal-evid50,cir-imp-1,na,basque-modal-50,felicitous,,89
basque-modal-evid50b,cir-imp-1,na,basque-modal-50b,infelicitous,,90
basque-modal-evid51,cir-imp-2,na,basque-modal-51,felicitous,,91
basque-modal-evid52,bou-nec-1,na,basque-modal-52,felicitous,,92
basque-modal-evid52b,bou-nec-1,na,basque-modal-52b,felicitous,,93
