expression,force,flavor,can_express,evidence,polarity,syntactically_negated,full_form,notes,index
Behar,strong,epistemic,1,"basque-modal-evid1, 2, 3, 4",positive,no,behar, ,1
Behar,weak necessity,epistemic,？,"basque-modal-evid5, 6",positive,no,behar,,2
Behar,weak,epistemic,?,,positive,no,behar,,3
Behar,strong,deontic,1,"basque-modal-evid13, 14, 31",positive,no,behar,,4
Behar,weak necessity,deontic,1,"basque-modal-evid15, 17",positive,no,behar,,5
Behar,weak,deontic,?,,positive,no,behar,,6
Behar,strong,teleological,1,"basque-modal-evid27, 28, 28b, 29, 30",positive,no,behar,,7
Behar,weak necessity,teleological,1,basque-modal-evid32b,positive,no,behar,this is marginally acceptable ,8
Behar,weak,teleological,?,,positive,no,behar,,9
Behar,strong,circumstantial,1,"basque-modal-evid41, 42, 43",positive,no,behar,,10
Behar,weak,circumstantial,?,,positive,no,behar,,11
Behar,strong,bouletic,1,"basque-modal-evid52, 53b",positive,no,behar,,12
Behar,strong,epistemic,1,basque-modal-evid4b,positive,no,-en behar,only elicited in epi-nec-4 context,13
Behar,weak necessity,epistemic,?,,positive,no,-en behar,,14
Behar,weak,epistemic,?,,positive,no,-en behar,,15
Behar,strong,deontic,0,basque-modal-evid31b,positive,no,-en behar,,16
Behar,weak necessity,deontic,?,,positive,no,-en behar,,17
Behar,weak,deontic,?,,positive,no,-en behar,,18
Behar,strong,teleological,0,basque-modal-evid30b,positive,no,-en behar,,19
Behar,weak necessity,teleological,?,,positive,no,-en behar,,20
Behar,weak,teleological,?,,positive,no,-en behar,,21
Behar,strong,circumstantial,?,,positive,no,-en behar,,22
Behar,weak,circumstantial,?,,positive,no,-en behar,,23
Behar,strong,bouletic,?,,positive,no,-en behar,,24
Behar,strong,epistemic,?,,negative,,ez ... behar,,25
Behar,weak necessity,epistemic,?,,negative,,ez ... behar,,26
Behar,weak,epistemic,?,,negative,,ez ... behar,,27
Behar,strong,deontic,1,"basque-modal-evid23, 23c, 24",negative,yes,ez ... behar,ez = negation,28
Behar,weak necessity,deontic,?,,negative,,ez ... behar,,29
Behar,weak,deontic,?,,negative,,ez ... behar,,30
Behar,strong,teleological,?,,negative,,ez ... behar,,31
Behar,weak necessity,teleological,?,,negative,,ez ... behar,,32
Behar,weak,teleological,?,,negative,,ez ... behar,,33
Behar,strong,circumstantial,?,,negative,,ez ... behar,,34
Behar,weak,circumstantial,?,,negative,,ez ... behar,,35
Behar,strong,bouletic,?,,negative,,ez ... behar,,36
Behar,strong,epistemic,?,,positive,no,BEHAR(KO) ZENUKE,,37
Behar,weak necessity,epistemic,?,,positive,no,BEHAR(KO) ZENUKE,,38
Behar,weak,epistemic,?,,positive,no,BEHAR(KO) ZENUKE,,39
Behar,strong,deontic,?,,positive,no,BEHAR(KO) ZENUKE,,40
Behar,weak necessity,deontic,?,,positive,no,BEHAR(KO) ZENUKE,,41
Behar,weak,deontic,?,,positive,no,BEHAR(KO) ZENUKE,,42
Behar,strong,teleological,?,,positive,no,BEHAR(KO) ZENUKE,,43
Behar,weak necessity,teleological,1,basque-modal-evid32,positive,no,BEHAR(KO) ZENUKE,ZENUKE = be.2sg.erg.pot,44
Behar,weak,teleological,?,,positive,no,BEHAR(KO) ZENUKE,,45
Behar,strong,circumstantial,?,,positive,no,BEHAR(KO) ZENUKE,,46
Behar,weak,circumstantial,?,,positive,no,BEHAR(KO) ZENUKE,,47
Behar,strong,bouletic,?,,positive,no,BEHAR(KO) ZENUKE,,48
Behar,strong,epistemic,?,,positive,no,BEHAR(KO) ZINATEKE,,49
Behar,weak necessity,epistemic,?,,positive,no,BEHAR(KO) ZINATEKE,,50
Behar,weak,epistemic,?,,positive,no,BEHAR(KO) ZINATEKE,,51
Behar,strong,deontic,?,,positive,no,BEHAR(KO) ZINATEKE,,52
Behar,weak necessity,deontic,?,,positive,no,BEHAR(KO) ZINATEKE,,53
Behar,weak,deontic,?,,positive,no,BEHAR(KO) ZINATEKE,,54
Behar,strong,teleological,?,,positive,no,BEHAR(KO) ZINATEKE,,55
Behar,weak necessity,teleological,1,"basque-modal-evid33, 34",positive,no,BEHAR(KO) ZINATEKE,,56
Behar,weak,teleological,?,,positive,no,BEHAR(KO) ZINATEKE,,57
Behar,strong,circumstantial,?,,positive,no,BEHAR(KO) ZINATEKE,,58
Behar,weak,circumstantial,?,,positive,no,BEHAR(KO) ZINATEKE,,59
Behar,strong,bouletic,?,,positive,no,BEHAR(KO) ZINATEKE,,60
Behar,strong,epistemic,?,,negative,,ez ... behar-rik,,61
Behar,weak necessity,epistemic,?,,negative,,ez ... behar-rik,,62
Behar,weak,epistemic,?,,negative,,ez ... behar-rik,,63
Behar,strong,deontic,?,,negative,,ez ... behar-rik,,64
Behar,weak necessity,deontic,?,,negative,,ez ... behar-rik,,65
Behar,weak,deontic,?,,negative,,ez ... behar-rik,,66
Behar,strong,teleological,1,basque-modal-evid38,negative,yes,ez ... behar-rik,NEG + behar + 'any' NPI (rik),67
Behar,weak necessity,teleological,?,,negative,,ez ... behar-rik,,68
Behar,weak,teleological,?,,negative,,ez ... behar-rik,,69
Behar,strong,circumstantial,?,,negative,,ez ... behar-rik,,70
Behar,weak,circumstantial,?,,negative,,ez ... behar-rik,,71
Behar,strong,bouletic,?,,negative,,ez ... behar-rik,,72
Egitekotan egon,strong,epistemic,?,,positive,no,Egitekotan egon,,73
Egitekotan egon,weak necessity,epistemic,1,basque-modal-evid6b,positive,no,Egitekotan egon,“is nearly” paraphrase,74
Egitekotan egon,weak,epistemic,?,,positive,no,Egitekotan egon,,75
Egitekotan egon,strong,deontic,?,,positive,no,Egitekotan egon,,76
Egitekotan egon,weak necessity,deontic,?,,positive,no,Egitekotan egon,,77
Egitekotan egon,weak,deontic,?,,positive,no,Egitekotan egon,,78
Egitekotan egon,strong,teleological,?,,positive,no,Egitekotan egon,,79
Egitekotan egon,weak necessity,teleological,?,,positive,no,Egitekotan egon,,80
Egitekotan egon,weak,teleological,?,,positive,no,Egitekotan egon,,81
Egitekotan egon,strong,circumstantial,?,,positive,no,Egitekotan egon,,82
Egitekotan egon,weak,circumstantial,?,,positive,no,Egitekotan egon,,83
Egitekotan egon,strong,bouletic,?,,positive,no,Egitekotan egon,,84
V + potential izan,strong,epistemic,?,,positive,no,LITEKE,,85
V + potential izan,weak necessity,epistemic,?,,positive,no,LITEKE,,86
V + potential izan,weak,epistemic,1,"basque-modal-evid7, 8, 9, 10",positive,no,LITEKE,LITEKE = be.potential_FUT,87
V + potential izan,strong,deontic,?,,positive,no,LITEKE,,88
V + potential izan,weak necessity,deontic,?,,positive,no,LITEKE,,89
V + potential izan,weak,deontic,?,,positive,no,LITEKE,,90
V + potential izan,strong,teleological,?,,positive,no,LITEKE,,91
V + potential izan,weak necessity,teleological,?,,positive,no,LITEKE,,92
V + potential izan,weak,teleological,?,,positive,no,LITEKE,,93
V + potential izan,strong,circumstantial,?,,positive,no,LITEKE,,94
V + potential izan,weak,circumstantial,?,,positive,no,LITEKE,,95
V + potential izan,strong,bouletic,?,,positive,no,LITEKE,,96
V + potential izan,strong,epistemic,?,,positive,no,DAITEKE,,97
V + potential izan,weak necessity,epistemic,?,,positive,no,DAITEKE,,98
V + potential izan,weak,epistemic,0,basque-modal-evid7b,positive,no,DAITEKE,DAITEKE = be.potential_PRES,99
V + potential izan,strong,deontic,?,,positive,no,DAITEKE,,100
V + potential izan,weak necessity,deontic,?,,positive,no,DAITEKE,,101
V + potential izan,weak,deontic,1,"basque-modal-evid18b, 21b, 22",positive,no,DAITEKE,DAITEKE = be.3sg.pot.abs,102
V + potential izan,strong,teleological,?,,positive,no,DAITEKE,,103
V + potential izan,weak necessity,teleological,?,,positive,no,DAITEKE,,104
V + potential izan,weak,teleological,?,,positive,no,DAITEKE,,105
V + potential izan,strong,circumstantial,?,,positive,no,DAITEKE,,106
V + potential izan,weak,circumstantial,?,,positive,no,DAITEKE,,107
V + potential izan,strong,bouletic,?,,positive,no,DAITEKE,,108
V + potential izan,strong,epistemic,?,,positive,no,DITZAKETE,,109
V + potential izan,weak necessity,epistemic,?,,positive,no,DITZAKETE,,110
V + potential izan,weak,epistemic,?,,positive,no,DITZAKETE,,111
V + potential izan,strong,deontic,?,,positive,no,DITZAKETE,,112
V + potential izan,weak necessity,deontic,1,basque-modal-evid16,positive,no,DITZAKETE,DITZAKETE = izan.3pl.pot,113
V + potential izan,weak,deontic,?,,positive,no,DITZAKETE,,114
V + potential izan,strong,teleological,?,,positive,no,DITZAKETE,,115
V + potential izan,weak necessity,teleological,?,,positive,no,DITZAKETE,,116
V + potential izan,weak,teleological,?,,positive,no,DITZAKETE,,117
V + potential izan,strong,circumstantial,?,,positive,no,DITZAKETE,,118
V + potential izan,weak,circumstantial,1,basque-modal-evid48,positive,no,DITZAKETE,,119
V + potential izan,strong,bouletic,?,,positive,no,DITZAKETE,,120
V + potential izan,strong,epistemic,?,,positive,no,beharko lituzkete,,121
V + potential izan,weak necessity,epistemic,?,,positive,no,beharko lituzkete,,122
V + potential izan,weak,epistemic,?,,positive,no,beharko lituzkete,,123
V + potential izan,strong,deontic,?,,positive,no,beharko lituzkete,,124
V + potential izan,weak necessity,deontic,1,basque-modal-evid16b,positive,no,beharko lituzkete,,125
V + potential izan,weak,deontic,?,,positive,no,beharko lituzkete,,126
V + potential izan,strong,teleological,?,,positive,no,beharko lituzkete,,127
V + potential izan,weak necessity,teleological,?,,positive,no,beharko lituzkete,,128
V + potential izan,weak,teleological,?,,positive,no,beharko lituzkete,,129
V + potential izan,strong,circumstantial,?,,positive,no,beharko lituzkete,,130
V + potential izan,weak,circumstantial,?,,positive,no,beharko lituzkete,,131
V + potential izan,strong,bouletic,?,,positive,no,beharko lituzkete,,132
V + potential izan,strong,epistemic,?,,positive,no,ZAITEZKE,,133
V + potential izan,weak necessity,epistemic,?,,positive,no,ZAITEZKE,,134
V + potential izan,weak,epistemic,?,,positive,no,ZAITEZKE,,135
V + potential izan,strong,deontic,?,,positive,no,ZAITEZKE,,136
V + potential izan,weak necessity,deontic,?,,positive,no,ZAITEZKE,,137
