ref,context,premise,example,judgment,comment,index
yue-modal-evid1,epi-nec-1,na,yue-modal-1,felicitous,,0
yue-modal-evid2,epi-nec-2,na,yue-modal-2,felicitous,,1
yue-modal-evid3,epi-nec-3,na,yue-modal-3,felicitous,,2
yue-modal-evid4,epi-nec-4,na,yue-modal-4,felicitous,,3
yue-modal-evid4b,epi-nec-4,na,yue-modal-4b,felicitous,,4
yue-modal-evid5,epi-wn-1,na,yue-modal-5,felicitous,,5
yue-modal-evid6,epi-wn-2,na,yue-modal-6,felicitous,,6
yue-modal-evid7,epi-wn-3,na,yue-modal-7,felicitous,,7
yue-modal-evid8,epi-pos-1,na,yue-modal-8,felicitous,,8
yue-modal-evid8b,epi-pos-1,na,yue-modal-8b,infelicitous,,9
yue-modal-evid8c,epi-pos-1,na,yue-modal-8c,infelicitous,,10
yue-modal-evid8d,epi-pos-1,na,yue-modal-8d,felicitous,marginal,11
yue-modal-evid9,epi-pos-2,na,yue-modal-9,felicitous,,12
yue-modal-evid9b,epi-pos-2,na,yue-modal-9b,felicitous,,13
yue-modal-evid9c,epi-pos-2,na,yue-modal-9c,infelicitous,,14
yue-modal-evid9d,epi-pos-2,na,yue-modal-9d,felicitous,,15
yue-modal-evid10,epi-pos-3,na,yue-modal-10,felicitous,,16
yue-modal-evid10b,epi-pos-3,na,yue-modal-10b,infelicitous,,17
yue-modal-evid10c,epi-pos-3,na,yue-modal-10c,felicitous,,18
yue-modal-evid11,epi-pos-4,na,yue-modal-11,felicitous,,19
yue-modal-evid11b,epi-pos-4,na,yue-modal-11b,felicitous,,20
yue-modal-evid11c,epi-pos-4,na,yue-modal-11c,infelicitous,,21
yue-modal-evid7p,epi-nn-1,na,yue-modal-7p,felicitous,,22
yue-modal-evid7pb,epi-nn-1,na,yue-modal-7pb,felicitous,,23
yue-modal-evid7pc,epi-nn1,na,yue-modal-7pc,infelicitous,,24
yue-modal-evid1p,epi-imp-1,na,yue-modal-1p,felicitous,,25
yue-modal-evid1pb,epi-imp-1,na,yue-modal-1pb,felicitous,,26
yue-modal-evid3p,epi-imp-2,na,yue-modal-3p,felicitous,,27
yue-modal-evid3pb,epi-imp-2,na,yue-modal-3pb,felicitous,,28
yue-modal-evid12,deo-nec-1,na,yue-modal-12,felicitous,,29
yue-modal-evid12b,deo-nec-1,na,yue-modal-12b,felicitous,,30
yue-modal-evid13,deo-nec-2,na,yue-modal-13,felicitous,,31
yue-modal-evid16,deo-wn-1,na,yue-modal-16,felicitous,,32
yue-modal-evid16b,deo-wn-1,na,yue-modal-16b,felicitous,,33
yue-modal-evid17,deo-wn-2,na,yue-modal-17,felicitous,,34
yue-modal-evid17b,deo-wn-2,na,yue-modal-17b,felicitous,,35
yue-modal-evid17c,deo-wn-2,na,yue-modal-17c,infelicitous,,36
yue-modal-evid18,deo-wn-3,na,yue-modal-18,felicitous,,37
yue-modal-evid18b,deo-wn-3,na,yue-modal-18b,felicitous,,38
yue-modal-evid18c,deo-wn-3,na,yue-modal-18c,infelicitous,,39
yue-modal-evid19,deo-pos-1,na,yue-modal-19,felicitous,,40
yue-modal-evid20,deo-pos-2,na,yue-modal-20,felicitous,,41
yue-modal-evid20b,deo-pos-2,na,yue-modal-20b,felicitous,,42
yue-modal-evid20c,deo-pos-2,na,yue-modal-20c,felicitous,,43
yue-modal-evid21,deo-pos-3,na,yue-modal-21,felicitous,,44
yue-modal-evid21b,deo-pos-3,na,yue-modal-21b,infelicitous,,45
yue-modal-evid22,deo-pos-4,na,yue-modal-22,felicitous,,46
yue-modal-evid22b,deo-pos-4,na,yue-modal-22b,felicitous,,47
yue-modal-evid23,deo-pos-5,na,yue-modal-23,felicitous,,48
yue-modal-evid23b,deo-pos-5,na,yue-modal-23b,felicitous,,49
yue-modal-evid16p,deo-nn-1,na,yue-modal-16p,felicitous,,50
yue-modal-evid16pb,deo-nn-1,na,yue-modal-16pb,felicitous,,51
yue-modal-evid16pc,deo-nn-1,na,yue-modal-16pc,ungrammatical,,52
yue-modal-evid18p,deo-nn-2,na,yue-modal-18p,felicitous,,53
yue-modal-evid18pb,deo-nn-2,na,yue-modal-18pb,felicitous,,54
yue-modal-evid18pc,deo-nn-2,na,yue-modal-18pc,infelicitous,,55
yue-modal-evid18pd,deo-nn-2,na,yue-modal-18pd,felicitous,marginal,56
yue-modal-evid12p,deo-imp-1,na,yue-modal-12p,felicitous,,57
yue-modal-evid13p,deo-imp-2,na,yue-modal-13p,felicitous,,58
yue-modal-evid13pb,deo-imp-2,na,yue-modal-13pb,infelicitous,,59
yue-modal-evid24,tel-nec-1,na,yue-modal-24,felicitous,,60
yue-modal-evid24b,tel-nec-1,na,yue-modal-24b,felicitous,,61
yue-modal-evid25,tel-nec-2,na,yue-modal-25,felicitous,,62
yue-modal-evid26,tel-nec-3,na,yue-modal-26,felicitous,,63
yue-modal-evid27,tel-wn-1,na,yue-modal-27,felicitous,,64
yue-modal-evid27b,tel-wn-1,na,yue-modal-27b,felicitous,,65
yue-modal-evid27c,tel-wn-1,na,yue-modal-27c,felicitous,marginal,66
yue-modal-evid28,tel-wn-2,na,yue-modal-28,felicitous,,67
yue-modal-evid28b,tel-wn-2,na,yue-modal-28b,felicitous,,68
yue-modal-evid29,tel-wn-3,na,yue-modal-29,felicitous,,69
yue-modal-evid29b,tel-wn-3,na,yue-modal-29b,felicitous,,70
yue-modal-evid30,tel-pos-1,na,yue-modal-30,felicitous,,71
yue-modal-evid31,tel-pos-2,na,yue-modal-31,felicitous,,72
yue-modal-evid32,tel-pos-3,na,yue-modal-32,felicitous,,73
yue-modal-evid27p,tel-nn-1,na,yue-modal-27p,felicitous,,74
yue-modal-evid27pb,tel-nn-1,na,yue-modal-27pb,felicitous,marginal,75
yue-modal-evid24p,tel-imp-1,na,yue-modal-24p,felicitous,,76
yue-modal-evid24pb,tel-imp-1,na,yue-modal-24pb,felicitous,marginal,77
yue-modal-evid25p,tel-imp-2,na,yue-modal-25p,felicitous,,78
