ref,context,premise,example,judgment,comment,index
pes-modal-evid1,epi-nec-1,na,pes-modal-1,felicitous,,1
pes-modal-evid2,epi-nec-2,na,pes-modal-2,felicitous,,2
pes-modal-evid3,epi-nec-3,na,pes-modal-3,felicitous,,3
pes-modal-evid4,epi-nec-4,na,pes-modal-4,infelicitous,,4
pes-modal-evid4b,epi-nec-4,na,pes-modal-4b,felicitous,,5
pes-modal-evid5,epi-wn-1,na,pes-modal-5,felicitous,,6
pes-modal-evid6,epi-wn-2,na,pes-modal-6,felicitous,,7
pes-modal-evid7,epi-wn-3,na,pes-modal-7,felicitous,,8
pes-modal-evid8,epi-pos-1,na,pes-modal-8,felicitous,,9
pes-modal-evid8b,epi-pos-1,na,pes-modal-8b,felicitous,preferred,10
pes-modal-evid8c,epi-pos-1,na,pes-modal-8c,felicitous,less preferred,11
pes-modal-evid9,epi-pos-2,na,pes-modal-9,felicitous,,12
pes-modal-evid9b,epi-pos-2,na,pes-modal-9b,felicitous,preferred,13
pes-modal-evid9c,epi-pos-2,na,pes-modal-9c,felicitous,less preferred,14
pes-modal-evid10,epi-pos-3,na,pes-modal-10,felicitous,,15
pes-modal-evid10b,epi-pos-3,na,pes-modal-10b,felicitous,,16
pes-modal-evid10c,epi-pos-3,na,pes-modal-10c,felicitous,,17
pes-modal-evid11,epi-pos-4,na,pes-modal-11,felicitous,,18
pes-modal-evid11b,epi-pos-4,na,pes-modal-11b,felicitous,,19
pes-modal-evid11c,epi-pos-4,na,pes-modal-11c,felicitous,,20
pes-modal-evid11d,epi-pos-4,na,pes-modal-11d,infelicitous,,21
pes-modal-evid12,epi-nnec-1,na,pes-modal-12,felicitous,,22
pes-modal-evid12b,epi-nnec-1,na,pes-modal-12b,felicitous,marginal,23
pes-modal-evid12c,epi-nnec-1,na,pes-modal-12c,felicitous,,24
pes-modal-evid12d,epi-nnec-1,na,pes-modal-12d,infelicitous,,25
pes-modal-evid13,epi-imp-1,na,pes-modal-13,felicitous,,26
pes-modal-evid13b,epi-imp-1,na,pes-modal-13b,felicitous,,27
pes-modal-evid13c,epi-imp-1,na,pes-modal-13c,infelicitous,,28
pes-modal-evid13d,epi-imp-1,na,pes-modal-13d,infelicitous,,29
pes-modal-evid14,epi-imp-2,na,pes-modal-14,felicitous,,30
pes-modal-evid14b,epi-imp-2,na,pes-modal-14b,felicitous,,31
pes-modal-evid14c,epi-imp-2,na,pes-modal-14c,felicitous,,32
pes-modal-evid15,deo-nec-1,na,pes-modal-15,felicitous,,33
pes-modal-evid15b,deo-nec-1,na,pes-modal-15b,felicitous,,34
pes-modal-evid16,deo-nec-2,na,pes-modal-16,felicitous,,35
pes-modal-evid16b,deo-nec-2,na,pes-modal-16b,felicitous,,36
pes-modal-evid16c,deo-nec-2,na,pes-modal-16c,felicitous,,37
pes-modal-evid17,deo-wn-2,na,pes-modal-17,felicitous,,38
pes-modal-evid17b,deo-wn-2,na,pes-modal-17b,infelicitous,,39
pes-modal-evid18,deo-wn-3,na,pes-modal-18,felicitous,,40
pes-modal-evid18b,deo-wn-3,na,pes-modal-18b,felicitous,,41
pes-modal-evid19,deo-pos-1,na,pes-modal-19,felicitous,,42
pes-modal-evid19b,deo-pos-1,na,pes-modal-19b,felicitous,,43
pes-modal-evid20,deo-pos-2,na,pes-modal-20,felicitous,,44
pes-modal-evid21,deo-pos-3,na,pes-modal-21,felicitous,,45
pes-modal-evid22,deo-pos-5,na,pes-modal-22,felicitous,,46
pes-modal-evid22b,deo-pos-5,na,pes-modal-22b,felicitous,,47
pes-modal-evid23,deo-nnec-1,na,pes-modal-23,felicitous,,48
pes-modal-evid23b,deo-nnec-1,na,pes-modal-23b,felicitous,,49
pes-modal-evid23c,deo-nnec-1,na,pes-modal-23c,felicitous,,50
pes-modal-evid23d,deo-nnec-1,na,pes-modal-23d,felicitous,,51
pes-modal-evid24,deo-imp-1,na,pes-modal-24,felicitous,,52
pes-modal-evid25,deo-imp-2,na,pes-modal-25,felicitous,,53
pes-modal-evid25b,deo-imp-2,na,pes-modal-25b,felicitous,,54
pes-modal-evid26,tel-nec-1,na,pes-modal-26,felicitous,,55
pes-modal-evid26b,tel-nec-1,na,pes-modal-26b,infelicitous,,56
pes-modal-evid27,tel-nec-2,na,pes-modal-27,felicitous,,57
pes-modal-evid27b,tel-nec-2,na,pes-modal-27b,felicitous,,58
pes-modal-evid28,tel-nec-3,na,pes-modal-28,felicitous,,59
pes-modal-evid28b,tel-nec-3,na,pes-modal-28b,infelicitous,,60
pes-modal-evid29,tel-wn-1,na,pes-modal-29,felicitous,,61
pes-modal-evid29b,tel-wn-1,na,pes-modal-29b,felicitous,,62
pes-modal-evid30,tel-wn-2,na,pes-modal-30,infelicitous,,63
pes-modal-evid31,tel-wn-3,na,pes-modal-31,felicitous,,64
pes-modal-evid32,tel-pos-1,na,pes-modal-32,felicitous,,65
pes-modal-evid32b,tel-pos-1,na,pes-modal-32b,felicitous,,66
pes-modal-evid33,tel-pos-2,na,pes-modal-33,felicitous,,67
pes-modal-evid34,tel-pos-3,na,pes-modal-34,felicitous,,68
pes-modal-evid35,tel-nnec-1,na,pes-modal-35,felicitous,,69
pes-modal-evid35b,tel-nnec-1,na,pes-modal-35b,felicitous,,70
pes-modal-evid35c,tel-nnec-1,na,pes-modal-35c,infelicitous,,71
pes-modal-evid36,tel-imp-1,na,pes-modal-36,felicitous,,72
pes-modal-evid36b,tel-imp-1,na,pes-modal-36b,felicitous,,73
pes-modal-evid36c,tel-imp-1,na,pes-modal-36c,felicitous,,74
pes-modal-evid36d,tel-imp-1,na,pes-modal-36d,felicitous,,75
pes-modal-evid37,tel-imp-2,na,pes-modal-37,felicitous,,76
