ref,context,premise,example,judgment,comment,index
heb-modal-evid1,epi-nec-1,na,heb-modal-1,felicitous,,0
heb-modal-evid1b,epi-nec-1,na,heb-modal-1b,felicitous,,1
heb-modal-evid2,epi-nec-5,na,heb-modal-2,felicitous,,2
heb-modal-evid2b,epi-nec-5,na,heb-modal-2b,felicitous,,3
heb-modal-evid3,epi-nec-3,na,heb-modal-3,felicitous,,4
heb-modal-evid4,epi-nec-4,na,heb-modal-4,felicitous,,5
heb-modal-evid4b,epi-nec-4,na,heb-modal-4b,felicitous,,6
heb-modal-evid4c,epi-nec-4,na,heb-modal-4c,felicitous,,7
heb-modal-evid4d,epi-nec-4,na,heb-modal-4d,ungrammatical,,8
heb-modal-evid5,epi-wn-1,na,heb-modal-5,felicitous,,9
heb-modal-evid5b,epi-wn-1,na,heb-modal-5b,felicitous,,10
heb-modal-evid6,epi-wn-3,na,heb-modal-6,felicitous,,11
heb-modal-evid6b,epi-wn-3,na,heb-modal-6b,felicitous,,12
heb-modal-evid7,epi-pos-1,na,heb-modal-7,felicitous,,13
heb-modal-evid7b,epi-pos-1,na,heb-modal-7b,felicitous,,14
heb-modal-evid8,epi-pos-3,na,heb-modal-8,felicitous,,15
heb-modal-evid8b,epi-pos-3,na,heb-modal-8b,felicitous,,16
heb-modal-evid8c,epi-pos-3,na,heb-modal-8c,ungrammatical,,17
heb-modal-evid8d,epi-pos-3,na,heb-modal-8d,felicitous,,18
heb-modal-evid8e,epi-pos-3,na,heb-modal-8e,felicitous,,19
heb-modal-evid9,epi-nnec-1,na,heb-modal-9,felicitous,,20
heb-modal-evid10,epi-imp-1,na,heb-modal-10,felicitous,,21
heb-modal-evid10b,epi-imp-1,na,heb-modal-10b,infelicitous,,22
heb-modal-evid11,deo-nec-1,na,heb-modal-11,felicitous,,23
heb-modal-evid12,deo-nec-2,na,heb-modal-12,felicitous,,24
heb-modal-evid13,deo-wn-1,na,heb-modal-13,felicitous,,25
heb-modal-evid13b,deo-wn-1,na,heb-modal-13b,felicitous,,26
heb-modal-evid14,deo-wn-2,na,heb-modal-14,felicitous,,27
heb-modal-evid14b,deo-wn-2,na,heb-modal-14b,felicitous,,28
heb-modal-evid15,deo-wn-3,na,heb-modal-15,felicitous,,29
heb-modal-evid15b,deo-wn-3,na,heb-modal-15b,infelicitous,,30
heb-modal-evid16,deo-pos-1,na,heb-modal-16,felicitous,,31
heb-modal-evid16b,deo-pos-1,na,heb-modal-16b,infelicitous,,32
heb-modal-evid16c,deo-pos-1,na,heb-modal-16c,infelicitous,,33
heb-modal-evid17,deo-pos-2,na,heb-modal-17,felicitous,,34
heb-modal-evid18,deo-nnec-1,na,heb-modal-18,felicitous,,35
heb-modal-evid18b,deo-nnec-1,na,heb-modal-18b,felicitous,,36
heb-modal-evid19,deo-imp-1,na,heb-modal-19,felicitous,,37
heb-modal-evid19b,deo-imp-1,na,heb-modal-19b,felicitous,,38
heb-modal-evid19c,deo-imp-1,na,heb-modal-19c,felicitous,,39
heb-modal-evid20,tel-nec-1,na,heb-modal-20,felicitous,,40
heb-modal-evid20b,tel-nec-1,na,heb-modal-20b,felicitous,,41
heb-modal-evid21,tel-wn-1,na,heb-modal-21,felicitous,,42
heb-modal-evid21b,tel-wn-1,na,heb-modal-21b,felicitous,,43
heb-modal-evid21c,tel-wn-1,na,heb-modal-21c,infelicitous,,44
heb-modal-evid21d,tel-wn-1,na,heb-modal-21d,infelicitous,,45
heb-modal-evid22,tel-pos-1,na,heb-modal-22,felicitous,,46
heb-modal-evid22b,tel-pos-1,na,heb-modal-22b,infelicitous,,47
heb-modal-evid22c,tel-pos-1,na,heb-modal-22c,infelicitous,,48
heb-modal-evid23,tel-nnec-1,na,heb-modal-23,felicitous,,49
heb-modal-evid24,tel-imp-1,na,heb-modal-24,felicitous,,50
heb-modal-evid24b,tel-imp-1,na,heb-modal-24b,infelicitous,,51
heb-modal-evid25,cir-nec-2,na,heb-modal-25,felicitous,,52
heb-modal-evid26,cir-pos-1,na,heb-modal-26,felicitous,,53
heb-modal-evid26b,cir-pos-1,na,heb-modal-26b,felicitous,,54
heb-modal-evid27,cir-pos-2,na,heb-modal-27,felicitous,,55
heb-modal-evid27b,cir-pos-2,na,heb-modal-27b,felicitous,,56
heb-modal-evid28,cir-nnec-1,na,heb-modal-28,felicitous,,57
heb-modal-evid28b,cir-nnec-1,na,heb-modal-28b,felicitous,,58
heb-modal-evid29,cir-imp-1,na,heb-modal-29,felicitous,,59
heb-modal-evid30,bou-nec-1,na,heb-modal-30,felicitous,,60
