expression,force,flavor,can_express,evidence,polarity,syntactically_negated,full_form,notes
batuakh,strong,epistemic,1,"heb-modal-evid1, heb-modal-evid2, heb-modal-evid4, heb-modal-evid4b",positive,no,batuakh,
batuakh,weak necessity,epistemic,?,,positive,no,batuakh,
batuakh,weak,epistemic,?,,positive,no,batuakh,
batuakh,strong,deontic,?,,positive,no,batuakh,
batuakh,weak necessity,deontic,?,,positive,no,batuakh,
batuakh,weak,deontic,?,,positive,no,batuakh,
batuakh,strong,teleological,?,,positive,no,batuakh,
batuakh,weak necessity,teleological,?,,positive,no,batuakh,
batuakh,weak,teleological,?,,positive,no,batuakh,
batuakh,strong,circumstantial,?,,positive,no,batuakh,
batuakh,weak,circumstantial,?,,positive,no,batuakh,
batuakh,strong,bouletic,?,,positive,no,batuakh,
batuakh,strong,epistemic,?,,negative,,,
batuakh,weak necessity,epistemic,?,,negative,,,
batuakh,weak,epistemic,?,,negative,,,
batuakh,strong,deontic,?,,negative,,,
batuakh,weak necessity,deontic,?,,negative,,,
batuakh,weak,deontic,?,,negative,,,
batuakh,strong,teleological,?,,negative,,,
batuakh,weak necessity,teleological,?,,negative,,,
batuakh,weak,teleological,?,,negative,,,
batuakh,strong,circumstantial,1,heb-modal-evid28b,negative,high,lo-batuakh,
batuakh,weak,circumstantial,?,,negative,,,
batuakh,strong,bouletic,?,,negative,,,
khayav,strong,epistemic,1,"heb-modal-evid1b, heb-modal-evid2b, heb-modal-evid3, heb-modal-evid4c",positive,no,khayav,cannot be used at sentence initial
khayav,weak necessity,epistemic,?,,positive,no,khayav,
khayav,weak,epistemic,?,,positive,no,khayav,
khayav,strong,deontic,1,heb-modal-evid11,positive,no,khayav,
khayav,weak necessity,deontic,?,,positive,no,khayav,
khayav,weak,deontic,?,,positive,no,khayav,
khayav,strong,teleological,1,heb-modal-evid20,positive,no,khayav,
khayav,weak necessity,teleological,?,,positive,no,khayav,
khayav,weak,teleological,?,,positive,no,khayav,
khayav,strong,circumstantial,1,heb-modal-evid25,positive,no,khayav,
khayav,weak,circumstantial,?,,positive,no,khayav,
khayav,strong,bouletic,?,,positive,no,khayav,
khayav,strong,epistemic,?,,negative,,,
khayav,weak necessity,epistemic,?,,negative,,,
khayav,weak,epistemic,?,,negative,,,
khayav,strong,deontic,1,heb-modal-evid18b,negative,high,lo khayav,
khayav,weak necessity,deontic,?,,negative,,,
khayav,weak,deontic,?,,negative,,,
khayav,strong,teleological,?,,negative,,,
khayav,weak necessity,teleological,0,heb-modal-evid21c,negative,,,
khayav,weak,teleological,?,,negative,,,
khayav,strong,circumstantial,?,,negative,,,
khayav,weak,circumstantial,?,,negative,,,
khayav,strong,bouletic,?,,negative,,,
amoora,strong,epistemic,?,,positive,no,amoora,
amoora,weak necessity,epistemic,1,"heb-modal-evid5, heb-modal-evid6",positive,no,amoora,cannot be used at sentence initial
amoora,weak,epistemic,?,,positive,no,amoora,
amoora,strong,deontic,?,,positive,no,amoora,
amoora,weak necessity,deontic,?,,positive,no,amoora,
amoora,weak,deontic,?,,positive,no,amoora,
amoora,strong,teleological,?,,positive,no,amoora,
amoora,weak necessity,teleological,?,,positive,no,amoora,
amoora,weak,teleological,?,,positive,no,amoora,
amoora,strong,circumstantial,?,,positive,no,amoora,
amoora,weak,circumstantial,?,,positive,no,amoora,
amoora,strong,bouletic,?,,positive,no,amoora,
amoorah … NEG + batuakh,strong,epistemic,1,heb-modal-evid9,negative,high,amoorah … NEG + batuakh,
amoorah … NEG + batuakh,weak necessity,epistemic,?,,negative,,,
amoorah … NEG + batuakh,weak,epistemic,?,,negative,,,
amoorah … NEG + batuakh,strong,deontic,?,,negative,,,
amoorah … NEG + batuakh,weak necessity,deontic,?,,negative,,,
amoorah … NEG + batuakh,weak,deontic,?,,negative,,,
amoorah … NEG + batuakh,strong,teleological,?,,negative,,,
amoorah … NEG + batuakh,weak necessity,teleological,?,,negative,,,
amoorah … NEG + batuakh,weak,teleological,?,,negative,,,
amoorah … NEG + batuakh,strong,circumstantial,?,,negative,,,
amoorah … NEG + batuakh,weak,circumstantial,?,,negative,,,
amoorah … NEG + batuakh,strong,bouletic,?,,negative,,,
tzrikha,strong,epistemic,?,,positive,no,tzrikha,
tzrikha,weak necessity,epistemic,1,"heb-modal-evid5b, heb-modal-evid6b",positive,no,tzrikha,translated as 'need'; cannot be used at sentence initial
tzrikha,weak,epistemic,?,,positive,no,tzrikha,
tzrikha,strong,deontic,?,,positive,no,tzrikha,
tzrikha,weak necessity,deontic,?,,positive,no,tzrikha,
tzrikha,weak,deontic,?,,positive,no,tzrikha,
tzrikha,strong,teleological,1,heb-modal-evid20b,positive,no,tzrikha,grammatical but a bit weaker
tzrikha,weak necessity,teleological,0,heb-modal-evid21d,positive,no,tzrikha,
tzrikha,weak,teleological,?,,positive,no,tzrikha,
tzrikha,strong,circumstantial,?,,positive,no,tzrikha,
tzrikha,weak,circumstantial,?,,positive,no,tzrikha,
tzrikha,strong,bouletic,?,,positive,no,tzrikha,
oolay,strong,epistemic,?,,positive,no,oolay,
oolay,weak necessity,epistemic,?,,positive,no,oolay,
oolay,weak,epistemic,1,"heb-modal-evid7, heb-modal-evid8, heb-modal-evid8d",positive,no,oolay,"original gloss: ""may"""
oolay,strong,deontic,?,,positive,no,oolay,
oolay,weak necessity,deontic,?,,positive,no,oolay,
oolay,weak,deontic,0,heb-modal-evid16c,positive,no,oolay,
oolay,strong,teleological,?,,positive,no,oolay,
oolay,weak necessity,teleological,?,,positive,no,oolay,
oolay,weak,teleological,0,heb-modal-evid22c,positive,no,oolay,
oolay,strong,circumstantial,?,,positive,no,oolay,
oolay,weak,circumstantial,?,,positive,no,oolay,
oolay,strong,bouletic,?,,positive,no,oolay,
yitakhen,strong,epistemic,?,,positive,no,yitakhen,
yitakhen,weak necessity,epistemic,?,,positive,no,yitakhen,"original gloss: ""it.could.be"""
yitakhen,weak,epistemic,1,"heb-modal-evid7b, heb-modal-evid8b",positive,no,yitakhen,
yitakhen,strong,deontic,?,,positive,no,yitakhen,
yitakhen,weak necessity,deontic,?,,positive,no,yitakhen,
