ref,context,premise,example,judgment,comment,index
hin-modal-evid1,epi-nec-1,na,hin-modal-1,felicitous,,1
hin-modal-evid1b,epi-nec-1,na,hin-modal-1b,felicitous,,2
hin-modal-evid1c,epi-nec-1,na,hin-modal-1c,felicitous,,3
hin-modal-evid2,epi-nec-2,na,hin-modal-2,felicitous,,4
hin-modal-evid3,epi-nec-3,na,hin-modal-3,felicitous,,5
hin-modal-evid4,epi-wn-1,na,hin-modal-4,felicitous,,6
hin-modal-evid4b,epi-wn-1,na,hin-modal-4b,felicitous,,7
hin-modal-evid4c,epi-wn-1,na,hin-modal-4c,infelicitous,,8
hin-modal-evid5,epi-wn-2,na,hin-modal-5,felicitous,,9
hin-modal-evid5b,epi-wn-2,na,hin-modal-5b,felicitous,,10
hin-modal-evid6,epi-pos-1,na,hin-modal-6,felicitous,,11
hin-modal-evid6b,epi-pos-1,na,hin-modal-6b,felicitous,,12
hin-modal-evid7,epi-pos-2,na,hin-modal-7,felicitous,,13
hin-modal-evid7b,epi-pos-2,na,hin-modal-7b,felicitous,,14
hin-modal-evid7c,epi-pos-2,na,hin-modal-7c,felicitous,,15
hin-modal-evid8,epi-pos-3,na,hin-modal-8,felicitous,,16
hin-modal-evid9,epi-nnec-1,na,hin-modal-9,felicitous,,17
hin-modal-evid10,epi-imp-1,na,hin-modal-10,felicitous,,18
hin-modal-evid11,deo-nec-1,na,hin-modal-11,felicitous,,19
hin-modal-evid11b,deo-nec-1,na,hin-modal-11b,felicitous,,20
hin-modal-evid12,deo-nec-2,na,hin-modal-12,felicitous,,21
hin-modal-evid13,deo-wn-2,na,hin-modal-13,felicitous,,22
hin-modal-evid14,deo-pos-2,na,hin-modal-14,felicitous,,23
hin-modal-evid15,deo-pos-3,na,hin-modal-15,felicitous,,24
hin-modal-evid16,deo-pos-5,na,hin-modal-16,felicitous,,25
hin-modal-evid16b,deo-pos-5,na,hin-modal-16b,felicitous,,26
hin-modal-evid17,deo-nnec-1,na,hin-modal-17,felicitous,,27
hin-modal-evid18,deo-imp-1,na,hin-modal-18,felicitous,,28
hin-modal-evid19,tel-nec-1,na,hin-modal-19,felicitous,,29
hin-modal-evid20,tel-nec-2,na,hin-modal-20,felicitous,,30
hin-modal-evid21,tel-wn-1,na,hin-modal-21,felicitous,,31
hin-modal-evid22,tel-wn-2,na,hin-modal-22,felicitous,,32
hin-modal-evid23,tel-pos-1,na,hin-modal-23,felicitous,,33
hin-modal-evid23b,tel-pos-1,na,hin-modal-23b,felicitous,,34
hin-modal-evid23c,tel-pos-1,na,hin-modal-23c,felicitous,,35
hin-modal-evid24,tel-pos-3,na,hin-modal-24,felicitous,,36
hin-modal-evid25,tel-nnec-1,na,hin-modal-25,felicitous,,37
hin-modal-evid26,tel-imp-2,na,hin-modal-26,felicitous,,38
hin-modal-evid27,cir-nec-1,na,hin-modal-27,felicitous,,39
hin-modal-evid28,cir-nec-4,na,hin-modal-28,felicitous,,40
hin-modal-evid29,cir-nec-3,na,hin-modal-29,felicitous,,41
hin-modal-evid30,cir-pos-1,na,hin-modal-30,felicitous,,42
hin-modal-evid30b,cir-pos-1,na,hin-modal-30b,infelicitous,,43
hin-modal-evid31,cir-pos-2,na,hin-modal-31,felicitous,,44
hin-modal-evid32,cir-nnec-1,na,hin-modal-32,felicitous,,45
hin-modal-evid33,cir-imp-2,na,hin-modal-33,felicitous,,46
hin-modal-evid34,bou-nec-1,na,hin-modal-34,felicitous,,47
hin-modal-evid34b,bou-nec-1,na,hin-modal-34b,felicitous,,48
