index,ref,context,premise,example,judgment,comment
0,hun-modal-evid1,epi-nec-1,na,hun-modal-1,felicitous,
1,hun-modal-evid1b,epi-nec-1,na,hun-modal-1b,felicitous,
2,hun-modal-evid2,epi-nec-2,na,hun-modal-2,felicitous,
3,hun-modal-evid2b,epi-nec-2,na,hun-modal-2b,felicitous,
4,hun-modal-evid2c,epi-nec-2,na,hun-modal-2c,felicitous,
5,hun-modal-evid3,epi-nec-3,na,hun-modal-3,felicitous,
6,hun-modal-evid4,epi-nec-4,na,hun-modal-4,felicitous,
7,hun-modal-evid4b,epi-nec-4,na,hun-modal-4b,felicitous,
8,hun-modal-evid5,epi-wn-1,na,hun-modal-5,felicitous,
9,hun-modal-evid5b,epi-wn-1,na,hun-modal-5b,felicitous,
10,hun-modal-evid5c,epi-wn-1,na,hun-modal-5c,felicitous,
11,hun-modal-evid6,epi-wn-2,na,hun-modal-6,felicitous,
12,hun-modal-evid7,epi-wn-3,na,hun-modal-7,felicitous,
13,hun-modal-evid8,epi-pos-1,na,hun-modal-8,felicitous,
14,hun-modal-evid8b,epi-pos-1,na,hun-modal-8b,infelicitous,
15,hun-modal-evid8c,epi-pos-1,na,hun-modal-8c,infelicitous,
16,hun-modal-evid9,epi-pos-2,na,hun-modal-9,felicitous,
17,hun-modal-evid9b,epi-pos-2,na,hun-modal-9b,felicitous,
18,hun-modal-evid10,epi-pos-3,na,hun-modal-10,felicitous,
19,hun-modal-evid10b,epi-pos-3,na,hun-modal-10b,felicitous,
20,hun-modal-evid11,epi-pos-4,na,hun-modal-11,felicitous,
21,hun-modal-evid11b,epi-pos-4,na,hun-modal-11b,felicitous,
22,hun-modal-evid12,epi-nnec-1,na,hun-modal-12,felicitous,
23,hun-modal-evid13,epi-imp-1,na,hun-modal-13,felicitous,
24,hun-modal-evid13b,epi-imp-1,na,hun-modal-13b,felicitous,
25,hun-modal-evid13c,epi-imp-1,na,hun-modal-13c,infelicitous,
26,hun-modal-evid14,epi-imp-2,na,hun-modal-14,felicitous,
27,hun-modal-evid14b,epi-imp-2,na,hun-modal-14b,felicitous,
28,hun-modal-evid15,deo-nec-1,na,hun-modal-15,felicitous,
