expression,force,flavor,can_express,evidence,polarity,syntactically_negated,full_form,notes
biztos(an),strong,epistemic,1,"hun-modal-evid1b, hun-modal-evid2c, hun-modal-evid4b",positive,no,biztos(an),
biztos(an),weak necessity,epistemic,?,,positive,no,biztos(an),
biztos(an),weak,epistemic,?,,positive,no,biztos(an),
biztos(an),strong,deontic,?,,positive,no,biztos(an),
biztos(an),weak necessity,deontic,?,,positive,no,biztos(an),
biztos(an),weak,deontic,?,,positive,no,biztos(an),
biztos(an),strong,teleological,?,,positive,no,biztos(an),
biztos(an),weak necessity,teleological,?,,positive,no,biztos(an),
biztos(an),weak,teleological,?,,positive,no,biztos(an),
biztos(an),strong,circumstantial,?,,positive,no,biztos(an),
biztos(an),weak,circumstantial,?,,positive,no,biztos(an),
biztos(an),strong,bouletic,?,,positive,no,biztos(an),
biztos(an),strong,epistemic,1,"hun-modal-evid13b, hun-modal-evid14b",negative,low,biztos(an) + COMP + NEG...,
biztos(an),weak necessity,epistemic,?,,negative,,,
biztos(an),weak,epistemic,?,,negative,,,
biztos(an),strong,deontic,?,,negative,,,
biztos(an),weak necessity,deontic,?,,negative,,,
biztos(an),weak,deontic,?,,negative,,,
biztos(an),strong,teleological,?,,negative,,,
biztos(an),weak necessity,teleological,?,,negative,,,
biztos(an),weak,teleological,?,,negative,,,
biztos(an),strong,circumstantial,1,hun-modal-evid49,negative,high,nem biztos(an),
biztos(an),weak,circumstantial,?,,negative,,,
biztos(an),strong,bouletic,?,,negative,,,
kell,strong,epistemic,1,"hun-modal-evid2, hun-modal-evid3",positive,no,kell,
kell,weak necessity,epistemic,?,,positive,no,kell,
kell,weak,epistemic,?,,positive,no,kell,
kell,strong,deontic,1,"hun-modal-evid15, hun-modal-evid16",positive,no,kell,
kell,weak necessity,deontic,0,hun-modal-evid17c,positive,no,kell,
kell,weak,deontic,?,,positive,no,kell,
kell,strong,teleological,1,"hun-modal-evid29c, hun-modal-evid30, hun-modal-evid31",positive,no,kell,
kell,weak necessity,teleological,1,hun-modal-evid34,positive,no,kell,"With kell, it seems to be pushy, indicates that this is a once in a lifetime opportunity"
kell,weak,teleological,?,,positive,no,kell,
kell,strong,circumstantial,1,"hun-modal-evid41, hun-modal-evid41b, hun-modal-evid42, hun-modal-evid42b, hun-modal-evid43",positive,no,kell,
kell,weak,circumstantial,?,,positive,no,kell,
kell,strong,bouletic,1,"hun-modal-evid53, hun-modal-evid54",positive,no,kell,
kell,strong,epistemic,?,,negative,,,
kell,weak necessity,epistemic,?,,negative,,,
kell,weak,epistemic,?,,negative,,,
kell,strong,deontic,1,"hun-modal-evid25b, hun-modal-evid26",negative,high,nem kell,
kell,weak necessity,deontic,?,,negative,,,
kell,weak,deontic,?,,negative,,,
kell,strong,teleological,1,hun-modal-evid38,negative,high,nem kell,
kell,weak necessity,teleological,?,,negative,,,
kell,weak,teleological,?,,negative,,,
kell,strong,circumstantial,?,,negative,,,
kell,weak,circumstantial,?,,negative,,,
kell,strong,bouletic,?,,negative,,,
kellene,strong,epistemic,?,,positive,no,kellene,
kellene,weak necessity,epistemic,?,,positive,no,kellene,
kellene,weak,epistemic,?,,positive,no,kellene,
kellene,strong,deontic,?,,positive,no,kellene,
kellene,weak necessity,deontic,1,"hun-modal-evid17, hun-modal-evid18, hun-modal-evid18b, hun-modal-evid19",positive,no,kellene,conditional of kell
kellene,weak,deontic,?,,positive,no,kellene,
kellene,strong,teleological,?,,positive,no,kellene,
kellene,weak necessity,teleological,1,"hun-modal-evid32, hun-modal-evid33, hun-modal-evid34b, hun-modal-evid34c",positive,no,kellene,
kellene,weak,teleological,?,,positive,no,kellene,
kellene,strong,circumstantial,?,,positive,no,kellene,
kellene,weak,circumstantial,?,,positive,no,kellene,
kellene,strong,bouletic,?,,positive,no,kellene,
lehet,strong,epistemic,?,,positive,no,lehet,
lehet,weak necessity,epistemic,?,,positive,no,lehet,
lehet,weak,epistemic,1,"hun-modal-evid8, hun-modal-evid9, hun-modal-evid10, hun-modal-evid10b, hun-modal-evid11b",positive,no,lehet,
lehet,strong,deontic,?,,positive,no,lehet,
lehet,weak necessity,deontic,?,,positive,no,lehet,
lehet,weak,deontic,?,,positive,no,lehet,
lehet,strong,teleological,?,,positive,no,lehet,
lehet,weak necessity,teleological,?,,positive,no,lehet,
lehet,weak,teleological,?,,positive,no,lehet,
lehet,strong,circumstantial,?,,positive,no,lehet,
lehet,weak,circumstantial,?,,positive,no,lehet,
lehet,strong,bouletic,?,,positive,no,lehet,
lehet,strong,epistemic,1,hun-modal-evid12,negative,low,lehet+ COMP + NEG...,
lehet,weak necessity,epistemic,?,,negative,,,
lehet,weak,epistemic,1,"hun-modal-evid4, hun-modal-evid13, hun-modal-evid14",negative,high,nem lehet,
lehet,strong,deontic,?,,negative,,,
lehet,weak necessity,deontic,?,,negative,,,
lehet,weak,deontic,1,hun-modal-evid28,negative,high,nem lehet,
lehet,strong,teleological,?,,negative,,,
lehet,weak necessity,teleological,?,,negative,,,
lehet,weak,teleological,1,hun-modal-evid39b,negative,high,nem lehet,
lehet,strong,circumstantial,?,,negative,,,
lehet,weak,circumstantial,?,,negative,,,
lehet,strong,bouletic,?,,negative,,,
valószínűleg,strong,epistemic,?,,positive,no,valószínűleg,"translated as ""probably"""
valószínűleg,weak necessity,epistemic,1,"hun-modal-evid5, hun-modal-evid5b, hun-modal-evid6, hun-modal-evid7",positive,no,valószínűleg,
valószínűleg,weak,epistemic,?,,positive,no,valószínűleg,
valószínűleg,strong,deontic,?,,positive,no,valószínűleg,
valószínűleg,weak necessity,deontic,?,,positive,no,valószínűleg,
valószínűleg,weak,deontic,?,,positive,no,valószínűleg,
valószínűleg,strong,teleological,?,,positive,no,valószínűleg,
valószínűleg,weak necessity,teleological,?,,positive,no,valószínűleg,
valószínűleg,weak,teleological,?,,positive,no,valószínűleg,
valószínűleg,strong,circumstantial,?,,positive,no,valószínűleg,
valószínűleg,weak,circumstantial,?,,positive,no,valószínűleg,
valószínűleg,strong,bouletic,?,,positive,no,valószínűleg,
-het-,strong,epistemic,?,,positive,no,-het-,
-het-,weak necessity,epistemic,?,,positive,no,-het-,
-het-,weak,epistemic,1,"hun-modal-evid9b, hun-modal-evid11",positive,no,-het-,
-het-,strong,deontic,?,,positive,no,-het-,
-het-,weak necessity,deontic,?,,positive,no,-het-,
-het-,weak,deontic,1,"hun-modal-evid20, hun-modal-evid22, hun-modal-evid23, hun-modal-evid24",positive,no,-het-,
-het-,strong,teleological,?,,positive,no,-het-,
-het-,weak necessity,teleological,?,,positive,no,-het-,
-het-,weak,teleological,1,"hun-modal-evid35, hun-modal-evid36, hun-modal-evid37, hun-modal-evid37c",positive,no,-het-,
-het-,strong,circumstantial,?,,positive,no,-het-,
-het-,weak,circumstantial,?,,positive,no,-het-,
-het-,strong,bouletic,?,,positive,no,-het-,
-het-,strong,epistemic,?,,negative,,,
-het-,weak necessity,epistemic,?,,negative,,,
-het-,weak,epistemic,?,,negative,,,
-het-,strong,deontic,?,,negative,,,
-het-,weak necessity,deontic,?,,negative,,,
-het-,weak,deontic,?,,negative,,,
-het-,strong,teleological,?,,negative,,,
-het-,weak necessity,teleological,?,,negative,,,
-het-,weak,teleological,1,hun-modal-evid40,negative,high,nem -het-,
-het-,strong,circumstantial,?,,negative,,,
-het-,weak,circumstantial,?,,negative,,,
-het-,strong,bouletic,?,,negative,,,
tilos,strong,epistemic,0,hun-modal-evid13c,negative,no,,
tilos,weak necessity,epistemic,?,,negative,no,,
tilos,weak,epistemic,?,,negative,no,,
tilos,strong,deontic,1,"hun-modal-evid2, hun-modal-evid27c, hun-modal-evid28c",negative,no,,
tilos,weak necessity,deontic,?,,negative,no,,
tilos,weak,deontic,?,,negative,no,,
tilos,strong,teleological,0,hun-modal-evid39c,negative,no,tilos,"If tilos is used, it indicates that there is in principle another possibility, which is forbidden	"
tilos,weak necessity,teleological,?,,negative,no,,
tilos,weak,teleological,?,,negative,no,,
tilos,strong,circumstantial,?,,negative,no,,
tilos,weak,circumstantial,?,,negative,no,,
tilos,strong,bouletic,?,,negative,no,,
muszáj,strong,epistemic,0,,positive,no,muszáj,Muszáj is infelicitous in epistemic contexts. It is a loan from German. 
muszáj,weak necessity,epistemic,?,,positive,no,muszáj,
muszáj,weak,epistemic,?,,positive,no,muszáj,
muszáj,strong,deontic,1,hun-modal-evid15b,positive,no,muszáj,
muszáj,weak necessity,deontic,0,hun-modal-evid17b,positive,no,muszáj,
muszáj,weak,deontic,?,,positive,no,muszáj,
muszáj,strong,teleological,1,hun-modal-evid30b,positive,no,muszáj,
muszáj,weak necessity,teleological,?,,positive,no,muszáj,
muszáj,weak,teleological,?,,positive,no,muszáj,
muszáj,strong,circumstantial,1,"hun-modal-evid41c, hun-modal-evid42c",positive,no,muszáj,
muszáj,weak,circumstantial,?,,positive,no,muszáj,
muszáj,strong,bouletic,1,hun-modal-evid53b,positive,no,muszáj,
muszáj,strong,epistemic,?,,negative,,,
muszáj,weak necessity,epistemic,?,,negative,,,
muszáj,weak,epistemic,?,,negative,,,
muszáj,strong,deontic,1,"hun-modal-evid25, hun-modal-evid26b",negative,high,nem muszáj,
muszáj,weak necessity,deontic,?,,negative,,,
muszáj,weak,deontic,?,,negative,,,
muszáj,strong,teleological,?,,negative,,,
muszáj,weak necessity,teleological,?,,negative,,,
muszáj,weak,teleological,?,,negative,,,
muszáj,strong,circumstantial,?,,negative,,,
muszáj,weak,circumstantial,?,,negative,,,
muszáj,strong,bouletic,?,,negative,,,
szabad ,strong,epistemic,?,,positive,no,szabad ,
szabad ,weak necessity,epistemic,?,,positive,no,szabad ,
szabad ,weak,epistemic,?,,positive,no,szabad ,
szabad ,strong,deontic,?,,positive,no,szabad ,
szabad ,weak necessity,deontic,?,,positive,no,szabad ,
szabad ,weak,deontic,1,"hun-modal-evid23b, hun-modal-evid24b",positive,no,szabad ,
szabad ,strong,teleological,?,,positive,no,szabad ,
szabad ,weak necessity,teleological,?,,positive,no,szabad ,
szabad ,weak,teleological,?,,positive,no,szabad ,
szabad ,strong,circumstantial,?,,positive,no,szabad ,
szabad ,weak,circumstantial,?,,positive,no,szabad ,
szabad ,strong,bouletic,?,,positive,no,szabad ,
szabad ,strong,epistemic,?,,negative,,,
szabad ,weak necessity,epistemic,?,,negative,,,
szabad ,weak,epistemic,?,,negative,,,
