ref,context,premise,example,judgment,comment,index
jpn-modal-evid1,epi-nec-1,na,jpn-modal-1,felicitous,,1
jpn-modal-evid1b,epi-nec-1,na,jpn-modal-1b,felicitous,,2
jpn-modal-evid2,epi-nec-3,na,jpn-modal-2,felicitous,,3
jpn-modal-evid2b,epi-nec-3,na,jpn-modal-2b,felicitous,,4
jpn-modal-evid3,epi-wn-1,na,jpn-modal-3,felicitous,,5
jpn-modal-evid4,epi-wn-3,na,jpn-modal-4,felicitous,,6
jpn-modal-evid4b,epi-wn-3,na,jpn-modal-4b,felicitous,,7
jpn-modal-evid5,epi-pos-1,na,jpn-modal-5,felicitous,,8
jpn-modal-evid6,epi-pos-3,na,jpn-modal-6,felicitous,,9
jpn-modal-evid7,epi-nnec-1,na,jpn-modal-7,felicitous,,10
jpn-modal-evid7b,epi-nnec-1,na,jpn-modal-7b,felicitous,dispreferred,11
jpn-modal-evid8,epi-imp-2,na,jpn-modal-8,felicitous,,12
jpn-modal-evid8b,epi-imp-2,na,jpn-modal-8b,felicitous,,13
jpn-modal-evid9,deo-nec-1,na,jpn-modal-9,felicitous,,14
jpn-modal-evid10,deo-nec-2,na,jpn-modal-10,felicitous,,15
jpn-modal-evid11,deo-wn-1,na,jpn-modal-11,felicitous,,16
jpn-modal-evid11b,deo-wn-1,na,jpn-modal-11b,felicitous,,17
jpn-modal-evid12,deo-pos-2,na,jpn-modal-12,felicitous,,18
jpn-modal-evid12b,deo-pos-2,na,jpn-modal-12b,felicitous,,19
jpn-modal-evid13,deo-pos-3,na,jpn-modal-13,felicitous,,20
jpn-modal-evid14,deo-nnec-1,na,jpn-modal-14,felicitous,,21
jpn-modal-evid15,deo-imp-1,na,jpn-modal-15,felicitous,,22
jpn-modal-evid15b,deo-imp-1,na,jpn-modal-15b,felicitous,,23
jpn-modal-evid15c,deo-imp-1,na,jpn-modal-15c,felicitous,,24
jpn-modal-evid16,tel-nec-1,na,jpn-modal-16,felicitous,,25
jpn-modal-evid17,tel-nec-3,na,jpn-modal-17,felicitous,dispreferred,26
jpn-modal-evid17b,tel-nec-3,na,jpn-modal-17b,felicitous,,27
jpn-modal-evid18,tel-wn-1,na,jpn-modal-18,felicitous,,28
jpn-modal-evid18b,tel-wn-1,na,jpn-modal-18b,felicitous,,29
jpn-modal-evid19,tel-wn-3,na,jpn-modal-19,felicitous,,30
jpn-modal-evid19b,tel-wn-3,na,jpn-modal-19b,infelicitous,,31
jpn-modal-evid20,tel-pos-1,na,jpn-modal-20,felicitous,,32
jpn-modal-evid20b,tel-pos-1,na,jpn-modal-20b,felicitous,,33
jpn-modal-evid21,tel-pos-2,na,jpn-modal-21,felicitous,,34
jpn-modal-evid22,tel-nnec-1,na,jpn-modal-22,felicitous,,35
jpn-modal-evid23,tel-imp-1,na,jpn-modal-23,felicitous,,36
jpn-modal-evid23b,tel-imp-1,na,jpn-modal-23b,felicitous,,37
jpn-modal-evid24,tel-imp-2,na,jpn-modal-24,felicitous,,38
jpn-modal-evid25,cir-nec-2,na,jpn-modal-25,felicitous,,39
jpn-modal-evid26,cir-nec-3,na,jpn-modal-26,felicitous,,40
jpn-modal-evid27,cir-pos-1,na,jpn-modal-27,felicitous,,41
jpn-modal-evid27b,cir-pos-1,na,jpn-modal-27b,infelicitous,,42
jpn-modal-evid28,cir-pos-2,na,jpn-modal-28,felicitous,,43
jpn-modal-evid28b,cir-pos-2,na,jpn-modal-28b,felicitous,,44
jpn-modal-evid29,cir-pos-3,na,jpn-modal-29,felicitous,,45
jpn-modal-evid30,cir-pos-5,na,jpn-modal-30,felicitous,,46
jpn-modal-evid30b,cir-pos-5,na,jpn-modal-30b,felicitous,,47
jpn-modal-evid31,cir-nnec-1,na,jpn-modal-31,felicitous,,48
jpn-modal-evid32,cir-imp-1,na,jpn-modal-32,felicitous,,49
jpn-modal-evid32b,cir-imp-1,na,jpn-modal-32b,felicitous,,50
jpn-modal-evid33,cir-imp-2,na,jpn-modal-33,felicitous,,51
jpn-modal-evid33b,cir-imp-2,na,jpn-modal-33b,felicitous,,52
jpn-modal-evid34,bou-nec-1,na,jpn-modal-34,felicitous,,53
jpn-modal-evid34b,bou-nec-1,na,jpn-modal-34b,felicitous,,54
