ref,context,premise,example,judgment,comment,index
thk-modal-evid1,epi-nec-1,na,thk-modal-1,felicitous,,1
thk-modal-evid1b,epi-nec-1,na,thk-modal-1b,felicitous,,2
thk-modal-evid2,epi-nec-3,na,thk-modal-2,felicitous,,3
thk-modal-evid3,epi-wn-1,na,thk-modal-3,felicitous,,4
thk-modal-evid4,epi-wn-4,na,thk-modal-4,felicitous,,5
thk-modal-evid5,epi-pos-1,na,thk-modal-5,felicitous,,6
thk-modal-evid5b,epi-pos-1,na,thk-modal-5b,felicitous,,7
thk-modal-evid6,epi-pos-3,na,thk-modal-6,felicitous,,8
thk-modal-evid7,epi-pos-6,na,thk-modal-7,felicitous,,9
thk-modal-evid8,epi-nnec-1,na,thk-modal-8,felicitous,,10
thk-modal-evid8b,epi-nnec-1,na,thk-modal-8b,felicitous,,11
thk-modal-evid9,epi-imp-1,na,thk-modal-9,felicitous,,12
thk-modal-evid9b,epi-imp-1,na,thk-modal-9b,infelicitous,,13
thk-modal-evid10,epi-imp-2,na,thk-modal-10,felicitous,,14
thk-modal-evid11,deo-nec-1,na,thk-modal-11,felicitous,,15
thk-modal-evid12,deo-wn-3,na,thk-modal-12,felicitous,,16
thk-modal-evid13,deo-pos-2,na,thk-modal-13,felicitous,,17
thk-modal-evid13b,deo-pos-2,na,thk-modal-13b,felicitous,,18
thk-modal-evid14,deo-pos-3,na,thk-modal-14,felicitous,,19
thk-modal-evid15,deo-nnec-1,na,thk-modal-15,felicitous,,20
thk-modal-evid15b,deo-nnec-1,na,thk-modal-15b,felicitous,,21
thk-modal-evid16,deo-imp-1,na,thk-modal-16,felicitous,,22
thk-modal-evid16b,deo-imp-1,na,thk-modal-16b,felicitous,,23
thk-modal-evid17,deo-imp-2,na,thk-modal-17,felicitous,,24
thk-modal-evid17b,deo-imp-2,na,thk-modal-17b,infelicitous,,25
thk-modal-evid18,tel-nec-1,na,thk-modal-18,felicitous,,26
thk-modal-evid18b,tel-nec-1,na,thk-modal-18b,infelicitous,,27
thk-modal-evid18c,tel-nec-1,na,thk-modal-18c,felicitous,,28
thk-modal-evid19,tel-nec-2,na,thk-modal-19,felicitous,,29
thk-modal-evid19b,tel-nec-2,na,thk-modal-19b,felicitous,,30
thk-modal-evid20,tel-wn-1,na,thk-modal-20,felicitous,,31
thk-modal-evid20b,tel-wn-1,na,thk-modal-20b,felicitous,,32
thk-modal-evid21,tel-pos-1,na,thk-modal-21,felicitous,,33
thk-modal-evid22,tel-nnec-1,na,thk-modal-22,felicitous,,34
thk-modal-evid22b,tel-nnec-1,na,thk-modal-22b,felicitous,,35
thk-modal-evid23,tel-imp-1,na,thk-modal-23,felicitous,,36
thk-modal-evid23b,tel-imp-1,na,thk-modal-23b,felicitous,,37
thk-modal-evid23c,tel-imp-1,na,thk-modal-23c,infelicitous,,38
thk-modal-evid24,cir-nec-2,na,thk-modal-24,felicitous,,39
thk-modal-evid24b,cir-nec-2,na,thk-modal-24b,felicitous,,40
thk-modal-evid25,cir-pos-1,na,thk-modal-25,felicitous,,41
thk-modal-evid25b,cir-pos-1,na,thk-modal-25b,felicitous,,42
thk-modal-evid26,cir-pos-2,na,thk-modal-26,felicitous,,43
thk-modal-evid26b,cir-pos-2,na,thk-modal-26b,infelicitous,,44
thk-modal-evid27,cir-nnec-1,na,thk-modal-27,felicitous,,45
thk-modal-evid27b,cir-nnec-1,na,thk-modal-27b,felicitous,,46
thk-modal-evid28,cir-imp-2,na,thk-modal-28,felicitous,,47
thk-modal-evid29,cir-imp-4,na,thk-modal-29,felicitous,,48
thk-modal-evid30,bou-nec-1,na,thk-modal-30,felicitous,,49
thk-modal-evid30b,bou-nec-1,na,thk-modal-30b,felicitous,,50
