ref,context,premise,example,judgment,comment,index
cmn-modal-evid1,epi-nec-1,na,cmn-modal-1,felicitous,,1
cmn-modal-evid2,epi-nec-2,na,cmn-modal-2,felicitous,,2
cmn-modal-evid3,epi-nec-3,na,cmn-modal-3,felicitous,,3
cmn-modal-evid4,epi-nec-4,na,cmn-modal-4,felicitous,,4
cmn-modal-evid5,epi-wn-1,na,cmn-modal-5,felicitous,,5
cmn-modal-evid6,epi-wn-2,na,cmn-modal-6,felicitous,,6
cmn-modal-evid7,epi-wn-3,na,cmn-modal-7,felicitous,,7
cmn-modal-evid8,epi-pos-1,na,cmn-modal-8,felicitous,,8
cmn-modal-evid9,epi-pos-2,na,cmn-modal-9,felicitous,,9
cmn-modal-evid10,epi-pos-3,na,cmn-modal-10,felicitous,,10
cmn-modal-evid11,epi-pos-4,na,cmn-modal-11,felicitous,,11
cmn-modal-evid12,deo-nec-1,na,cmn-modal-12,felicitous,,12
cmn-modal-evid13,deo-nec-2,na,cmn-modal-13,felicitous,,13
cmn-modal-evid14,deo-nec-3,na,cmn-modal-14,felicitous,,14
cmn-modal-evid15,deo-wn-1,na,cmn-modal-15,felicitous,,15
cmn-modal-evid16,deo-wn-2,na,cmn-modal-16,felicitous,,16
cmn-modal-evid17,deo-wn-3,na,cmn-modal-17,felicitous,,17
cmn-modal-evid18,deo-pos-1,na,cmn-modal-18,felicitous,,18
cmn-modal-evid19,deo-pos-2,na,cmn-modal-19,felicitous,,19
cmn-modal-evid20,deo-pos-3,na,cmn-modal-20,felicitous,,20
cmn-modal-evid20b,deo-pos-3,na,cmn-modal-20b,felicitous,,21
cmn-modal-evid21,deo-pos-4,na,cmn-modal-21,felicitous,,22
cmn-modal-evid22,deo-pos-5,na,cmn-modal-22,felicitous,,23
cmn-modal-evid22b,deo-pos-5,na,cmn-modal-22b,felicitous,,24
cmn-modal-evid23,tel-nec-1,na,cmn-modal-23,felicitous,,25
cmn-modal-evid24,tel-nec-2,na,cmn-modal-24,felicitous,,26
cmn-modal-evid25,tel-nec-3,na,cmn-modal-25,felicitous,,27
cmn-modal-evid26,tel-wn-1,na,cmn-modal-26,felicitous,,28
cmn-modal-evid27,tel-wn-2,na,cmn-modal-27,felicitous,,29
cmn-modal-evid28,tel-wn-3,na,cmn-modal-28,felicitous,,30
cmn-modal-evid29,tel-pos-1,na,cmn-modal-29,felicitous,,31
cmn-modal-evid30,tel-pos-2,na,cmn-modal-30,felicitous,,32
cmn-modal-evid31,tel-pos-3,na,cmn-modal-31,felicitous,,33
cmn-modal-evid32,cir-nec-1,na,cmn-modal-32,felicitous,,34
cmn-modal-evid32b,cir-nec-1,na,cmn-modal-32b,felicitous,preferred,35
cmn-modal-evid32c,cir-nec-1,na,cmn-modal-32c,felicitous,preferred,36
cmn-modal-evid33,cir-nec-2,na,cmn-modal-33,felicitous,,37
cmn-modal-evid33b,cir-nec-2,na,cmn-modal-33b,felicitous,,38
cmn-modal-evid34,cir-pos-1,na,cmn-modal-34,felicitous,,39
cmn-modal-evid35,cir-pos-2,na,cmn-modal-35,felicitous,,40
cmn-modal-evid36,cir-pos-3,na,cmn-modal-36,felicitous,,41
cmn-modal-evid37,cir-pos-4,na,cmn-modal-37,felicitous,,42
cmn-modal-evid38,cir-pos-5,na,cmn-modal-38,felicitous,,43
cmn-modal-evid39,bou-nec-1,na,cmn-modal-39,felicitous,,44
cmn-modal-evid40,bou-nec-1,na,cmn-modal-40,felicitous,,45
cmn-modal-evid40b,bou-nec-1,na,cmn-modal-40b,felicitous,,46
cmn-modal-evid41,bou-nec-2,na,cmn-modal-41,felicitous,,47
cmn-modal-evid42,bou-nec-3,na,cmn-modal-42,felicitous,,48
