expression,force,flavor,can_express,evidence,polarity,syntactically_negated,full_form,notes
yiding,strong,epistemic,1,"cmn-modal-evid1, cmn-modal-evid2, cmn-modal-evid3, cmn-modal-evid4",positive,no,yiding,chinese character: 一定
yiding,weak necessity,epistemic,?,,positive,no,yiding,
yiding,weak,epistemic,?,,positive,no,yiding,
yiding,strong,deontic,?,,positive,no,yiding,
yiding,weak necessity,deontic,?,,positive,no,yiding,
yiding,weak,deontic,?,,positive,no,yiding,
yiding,strong,teleological,?,,positive,no,yiding,
yiding,weak necessity,teleological,?,,positive,no,yiding,
yiding,weak,teleological,?,,positive,no,yiding,
yiding,strong,circumstantial,?,,positive,no,yiding,
yiding,weak,circumstantial,?,,positive,no,yiding,
yiding,strong,bouletic,?,,positive,no,yiding,
biran,strong,epistemic,1,,positive,no,biran,"chinese character: 必然, modal adverb"
biran,weak necessity,epistemic,?,,positive,no,biran,
biran,weak,epistemic,?,,positive,no,biran,
biran,strong,deontic,?,,positive,no,biran,
biran,weak necessity,deontic,?,,positive,no,biran,
biran,weak,deontic,?,,positive,no,biran,
biran,strong,teleological,?,,positive,no,biran,
biran,weak necessity,teleological,?,,positive,no,biran,
biran,weak,teleological,?,,positive,no,biran,
biran,strong,circumstantial,?,,positive,no,biran,
biran,weak,circumstantial,?,,positive,no,biran,
biran,strong,bouletic,?,,positive,no,biran,
juedui,strong,epistemic,1,,positive,no,juedui,"chinese character: 绝对, adverb, not necessarily modal origin"
juedui,weak necessity,epistemic,?,,positive,no,juedui,
juedui,weak,epistemic,?,,positive,no,juedui,
juedui,strong,deontic,?,,positive,no,juedui,
juedui,weak necessity,deontic,?,,positive,no,juedui,
juedui,weak,deontic,?,,positive,no,juedui,
juedui,strong,teleological,?,,positive,no,juedui,
juedui,weak necessity,teleological,?,,positive,no,juedui,
juedui,weak,teleological,?,,positive,no,juedui,
juedui,strong,circumstantial,?,,positive,no,juedui,
juedui,weak,circumstantial,?,,positive,no,juedui,
juedui,strong,bouletic,?,,positive,no,juedui,
bixu,strong,epistemic,?,,positive,no,bixu,chinese character: 必须
bixu,weak necessity,epistemic,?,,positive,no,bixu,
bixu,weak,epistemic,?,,positive,no,bixu,
bixu,strong,deontic,1,,positive,no,bixu,
bixu,weak necessity,deontic,?,,positive,no,bixu,
bixu,weak,deontic,?,,positive,no,bixu,
bixu,strong,teleological,1,,positive,no,bixu,
bixu,weak necessity,teleological,?,,positive,no,bixu,
bixu,weak,teleological,?,,positive,no,bixu,
bixu,strong,circumstantial,1,cmn-modal-evid32b,positive,no,bixu,
bixu,weak,circumstantial,?,,positive,no,bixu,
bixu,strong,bouletic,1,"cmn-modal-evid40, cmn-modal-evid40b",positive,no,bixu,
yao,strong,epistemic,?,,positive,no,yao,chinese character: 要
yao,weak necessity,epistemic,?,,positive,no,yao,
yao,weak,epistemic,?,,positive,no,yao,
yao,strong,deontic,1,,positive,no,yao,
yao,weak necessity,deontic,?,,positive,no,yao,
yao,weak,deontic,?,,positive,no,yao,
yao,strong,teleological,1,,positive,no,yao,
yao,weak necessity,teleological,?,,positive,no,yao,
yao,weak,teleological,?,,positive,no,yao,
yao,strong,circumstantial,?,,positive,no,yao,
yao,weak,circumstantial,?,,positive,no,yao,
yao,strong,bouletic,?,,positive,no,yao,
dei,strong,epistemic,?,,positive,no,dei,"chinese character: 得, colloquial, perhaps dialectal more prevalent in Northern China"
dei,weak necessity,epistemic,?,,positive,no,dei,
dei,weak,epistemic,?,,positive,no,dei,
dei,strong,deontic,1,,positive,no,dei,
dei,weak necessity,deontic,?,,positive,no,dei,
dei,weak,deontic,?,,positive,no,dei,
dei,strong,teleological,1,,positive,no,dei,
dei,weak necessity,teleological,?,,positive,no,dei,
dei,weak,teleological,?,,positive,no,dei,
dei,strong,circumstantial,1,cmn-modal-evid33b,positive,no,dei,
dei,weak,circumstantial,?,,positive,no,dei,
dei,strong,bouletic,?,,positive,no,dei,
yiding yao,strong,epistemic,?,,positive,no,yiding yao,chinese character: 一定要
yiding yao,weak necessity,epistemic,?,,positive,no,yiding yao,
yiding yao,weak,epistemic,?,,positive,no,yiding yao,
yiding yao,strong,deontic,1,cmn-modal-evid13,positive,no,yiding yao,
yiding yao,weak necessity,deontic,1,,positive,no,yiding yao,
yiding yao,weak,deontic,?,,positive,no,yiding yao,
yiding yao,strong,teleological,?,,positive,no,yiding yao,
yiding yao,weak necessity,teleological,?,,positive,no,yiding yao,
yiding yao,weak,teleological,?,,positive,no,yiding yao,
yiding yao,strong,circumstantial,1,cmn-modal-evid32,positive,no,yiding yao,
yiding yao,weak,circumstantial,?,,positive,no,yiding yao,
yiding yao,strong,bouletic,?,,positive,no,yiding yao,
yiding dei,strong,epistemic,?,,positive,no,yiding dei,chinese character: 一定得
yiding dei,weak necessity,epistemic,?,,positive,no,yiding dei,
yiding dei,weak,epistemic,?,,positive,no,yiding dei,
yiding dei,strong,deontic,?,,positive,no,yiding dei,
yiding dei,weak necessity,deontic,?,,positive,no,yiding dei,
yiding dei,weak,deontic,?,,positive,no,yiding dei,
