expression,force,flavor,can_express,evidence,polarity,syntactically_negated,full_form,notes,index
zal,strong,epistemic,1,"dutch-modal-evid1, dutch-modal-evid2",positive,no,zal,zal is the singular form of 'zullen',
zal,weak necessity,epistemic,1,"dutch-modal-evid5, dutch-modal-evid6, dutch-modal-evid7b",positive,no,zal,,
zal,weak,epistemic,,,positive,no,zal,,
zal,strong,deontic,,,positive,no,zal,,
zal,weak necessity,deontic,,,positive,no,zal,,
zal,weak,deontic,,,positive,no,zal,,
zal,strong,teleological,,,positive,no,zal,,
zal,weak necessity,teleological,,,positive,no,zal,,
zal,weak,teleological,,,positive,no,zal,,
zal,strong,circumstantial,,,positive,no,zal,,
zal,weak,circumstantial,,,positive,no,zal,,
zal,strong,bouletic,,,positive,no,zal,,
zal,strong,epistemic,1,dutch-modal-evid13,negative,high,zai niet,,
,weak necessity,epistemic,,,negative,,,,
,weak,epistemic,,,negative,,,,
,strong,deontic,,,negative,,,,
,weak necessity,deontic,,,negative,,,,
,weak,deontic,,,negative,,,,
,strong,teleological,,,negative,,,,
,weak necessity,teleological,,,negative,,,,
,weak,teleological,,,negative,,,,
,strong,circumstantial,,,negative,,,,
,weak,circumstantial,,,negative,,,,
,strong,bouletic,,,negative,,,,
moet/moeten,strong,epistemic,1,"dutch-modal-evid3, dutch-modal-evid4",positive,no,moet/moeten,moet/moeten are singular/plural forms,
,weak necessity,epistemic,,,positive,no,moet/moeten,,
,weak,epistemic,,,positive,no,moet/moeten,,
,strong,deontic,1,"dutch-modal-evid15, dutch-modal-evid16, dutch-modal-evid16b",positive,no,moet/moeten,,
,weak necessity,deontic,,,positive,no,moet/moeten,,
,weak,deontic,,,positive,no,moet/moeten,,
,strong,teleological,,,positive,no,moet/moeten,,
,weak necessity,teleological,,,positive,no,moet/moeten,,
,weak,teleological,,,positive,no,moet/moeten,,
,strong,circumstantial,,,positive,no,moet/moeten,,
,weak,circumstantial,,,positive,no,moet/moeten,,
,strong,bouletic,,,positive,no,moet/moeten,,
moet/moeten,strong,epistemic,0,dutch-modal-evid4d,negative,low,moet niet,,
,weak necessity,epistemic,0,dutch-modal-evid12e,negative,low,moet niet,,
,weak,epistemic,,,negative,,,,
,strong,deontic,,,negative,,,,
,weak necessity,deontic,,,negative,,,,
,weak,deontic,,,negative,,,,
,strong,teleological,,,negative,,,,
,weak necessity,teleological,,,negative,,,,
,weak,teleological,,,negative,,,,
,strong,circumstantial,,,negative,,,,
,weak,circumstantial,,,negative,,,,
,strong,bouletic,,,negative,,,,
moet/moeten,strong,epistemic,,,positive,no,,,
,weak necessity,epistemic,,,positive,no,,,
,weak,epistemic,,,positive,no,,,
,strong,deontic,,,positive,no,,,
,weak necessity,deontic,1,dutch-modal-evid19b,positive,no,moet/moeten eigenlijk,"eigenlijk = in.principle
both elements required",
,weak,deontic,,,positive,no,,,
,strong,teleological,,,positive,no,,,
,weak necessity,teleological,,,positive,no,,,
,weak,teleological,,,positive,no,,,
,strong,circumstantial,,,positive,no,,,
,weak,circumstantial,,,positive,no,,,
,strong,bouletic,,,positive,no,,,
kan/kunnen,strong,epistemic,1,"dutch-modal-evid4b, dutch-modal-evid4c, dutch-modal-evid13b, dutch-modal-evid14",negative,low,kan/kunnen niet,kan/kunnen are singular and plural form,
,weak necessity,epistemic,,,negative,,,,
,weak,epistemic,0,dutch-modal-evid12d,negative,low,kan/kunnen niet,,
,strong,deontic,,,negative,,,,
