expression,force,flavor,can_express,evidence,polarity,syntactically_negated,full_form,notes
deber,strong,epistemic,1,"spa-modal-evid1, spa-modal-evid2, spa-modal-evid3, spa-modal-evid4",positive,no,deber (de),"Deber + Inf 	 =	deontic;  epistemic (colloquial but probably for young people just normal)
Deber + de + Inf =	only epistemic
[Prescriptively at school: Deber + Inf =deontic;    Deber + de + Inf = epistemic]"
deber,weak necessity,epistemic,?,,positive,no,deber (de),
deber,weak,epistemic,0,spa-modal-evid10c,positive,no,deber (de),
deber,strong,deontic,1,"spa-modal-evid15, spa-modal-evid16",positive,no,deber,
deber,weak necessity,deontic,?,,positive,no,,
deber,weak,deontic,?,,positive,no,,
deber,strong,teleological,1,"spa-modal-evid29b, spa-modal-evid30",positive,no,deber,
deber,weak necessity,teleological,?,,positive,no,,
deber,weak,teleological,?,,positive,no,,
deber,strong,circumstantial,1,spa-modal-evid43c,positive,no,deber,
deber,weak,circumstantial,?,,positive,no,,
deber,strong,bouletic,1,spa-modal-evid52b,positive,no,deber,
debe-ría,strong,epistemic,?,,positive,no,debe-ría (de),"Conditional verb, inflected for person and number"
debe-ría,weak necessity,epistemic,1,"spa-modal-evid5, spa-modal-evid6b,spa-modal-evid7, spa-modal-evid7b",positive,no,debe-ría (de),
debe-ría,weak,epistemic,?,,positive,no,,
debe-ría,strong,deontic,?,,positive,no,,
debe-ría,weak necessity,deontic,1,"spa-modal-evid17, spa-modal-evid18, spa-modal-evid19",positive,no,debe-ría,
debe-ría,weak,deontic,?,,positive,no,,
debe-ría,strong,teleological,?,,positive,no,,
debe-ría,weak necessity,teleological,1,"spa-modal-evid32, spa-modal-evid33, spa-modal-evid34",positive,no,debe-ría,
debe-ría,weak,teleological,?,,positive,no,,
debe-ría,strong,circumstantial,?,,positive,no,,
debe-ría,weak,circumstantial,?,,positive,no,,
debe-ría,strong,bouletic,?,,positive,no,,
poder,strong,epistemic,?,,positive,no,poder,"poder + Inf = epistemic or deontic (or circumstantial, etc); 
poder.3sg + que + finite clause = only epistemic"
poder,weak necessity,epistemic,?,,positive,no,poder,
poder,weak,epistemic,1,"spa-modal-evid8, spa-modal-evid9, spa-modal-evid10, spa-modal-evid10b, spa-modal-evid11",positive,no,poder,
poder,strong,deontic,?,,positive,no,poder,
poder,weak necessity,deontic,?,,positive,no,poder,
poder,weak,deontic,1,"spa-modal-evid20, spa-modal-evid21, spa-modal-evid22, spa-modal-evid22b, spa-modal-evid23, spa-modal-evid24",positive,no,poder,
poder,strong,teleological,?,,positive,no,poder,
poder,weak necessity,teleological,?,,positive,no,poder,
poder,weak,teleological,1,"spa-modal-evid35, spa-modal-evid36, spa-modal-evid37",positive,no,poder,
poder,strong,circumstantial,?,,positive,no,poder,
poder,weak,circumstantial,1,"spa-modal-evid44, spa-modal-evid45, spa-modal-evid46, spa-modal-evid47, spa-modal-evid48",positive,no,poder,
poder,strong,bouletic,?,,positive,no,poder,
tener que,strong,epistemic,?,,positive,no,tener que,tener complement; cannot be finite
tener que,weak necessity,epistemic,?,,positive,no,tener que,
tener que,weak,epistemic,?,,positive,no,tener que,
tener que,strong,deontic,?,,positive,no,tener que,
tener que,weak necessity,deontic,?,,positive,no,tener que,
tener que,weak,deontic,?,,positive,no,tener que,
tener que,strong,teleological,1,"spa-modal-evid29, spa-modal-evid30b, spa-modal-evid31",positive,no,tener que,
tener que,weak necessity,teleological,1,spa-modal-evid34b,positive,no,tener que,
tener que,weak,teleological,?,,positive,no,tener que,
tener que,strong,circumstantial,1,"spa-modal-evid41, spa-modal-evid42, spa-modal-evid43, spa-modal-evid43b",positive,no,tener que,
tener que,weak,circumstantial,?,,positive,no,tener que,
tener que,strong,bouletic,1,"spa-modal-evid52, spa-modal-evid53",positive,no,tener que,
necesitar,strong,epistemic,?,,positive,no,necesitar,
necesitar,weak necessity,epistemic,?,,positive,no,necesitar,
necesitar,weak,epistemic,?,,positive,no,necesitar,
necesitar,strong,deontic,?,,positive,no,necesitar,
necesitar,weak necessity,deontic,?,,positive,no,necesitar,
necesitar,weak,deontic,?,,positive,no,necesitar,
necesitar,strong,teleological,1,spa-modal-evid30c,positive,no,necesitar,
necesitar,weak necessity,teleological,?,,positive,no,necesitar,
necesitar,weak,teleological,?,,positive,no,necesitar,
necesitar,strong,circumstantial,?,,positive,no,necesitar,
necesitar,weak,circumstantial,?,,positive,no,necesitar,
necesitar,strong,bouletic,?,,positive,no,necesitar,
ser capaz de,strong,epistemic,?,,positive,no,ser capaz de,"Paraphrase, either “it may be that…” or “SUBJ is [not] capable of…”"
ser capaz de,weak necessity,epistemic,?,,positive,no,ser capaz de,
ser capaz de,weak,epistemic,?,,positive,no,ser capaz de,
ser capaz de,strong,deontic,?,,positive,no,ser capaz de,
ser capaz de,weak necessity,deontic,?,,positive,no,ser capaz de,
ser capaz de,weak,deontic,?,,positive,no,ser capaz de,
ser capaz de,strong,teleological,?,,positive,no,ser capaz de,
ser capaz de,weak necessity,teleological,?,,positive,no,ser capaz de,
ser capaz de,weak,teleological,?,,positive,no,ser capaz de,
ser capaz de,strong,circumstantial,?,,positive,no,ser capaz de,
ser capaz de,weak,circumstantial,1,"spa-modal-evid45b, spa-modal-evid46b, spa-modal-evid47b, spa-modal-evid48b",positive,no,ser capaz de,
ser capaz de,strong,bouletic,?,,positive,no,ser capaz de,
poder,strong,epistemic,1,spa-modal-evid12,negative,low,[Puede que no + [...]],"Paraphrase, either “it may be that…” or “SUBJ is [not] capable of…”"
poder,weak necessity,epistemic,?,,negative,,[Puede que no + [...]],
poder,weak,epistemic,?,,negative,,[Puede que no + [...]],
poder,strong,deontic,?,,negative,,[Puede que no + [...]],
poder,weak necessity,deontic,?,,negative,,[Puede que no + [...]],
poder,weak,deontic,?,,negative,,[Puede que no + [...]],
poder,strong,teleological,?,,negative,,[Puede que no + [...]],
poder,weak necessity,teleological,?,,negative,,[Puede que no + [...]],
poder,weak,teleological,?,,negative,,[Puede que no + [...]],
poder,strong,circumstantial,?,,negative,,[Puede que no + [...]],
poder,weak,circumstantial,?,,negative,,[Puede que no + [...]],
poder,strong,bouletic,?,,negative,,[Puede que no + [...]],
poder,strong,epistemic,?,,negative,,No poder,
poder,weak necessity,epistemic,?,,negative,,No poder,
poder,weak,epistemic,1,"spa-modal-evid13, spa-modal-evid14",negative,high,No poder,
poder,strong,deontic,?,,negative,,No poder,
poder,weak necessity,deontic,?,,negative,,No poder,
poder,weak,deontic,1,,negative,,No poder,
poder,strong,teleological,?,,negative,,No poder,
poder,weak necessity,teleological,?,,negative,,No poder,
poder,weak,teleological,1,"spa-modal-evid39, spa-modal-evid40",negative,,No poder,
poder,strong,circumstantial,?,,negative,,No poder,
poder,weak,circumstantial,1,"spa-modal-evid50, spa-modal-evid51, spa-modal-evid52",negative,,No poder,
poder,strong,bouletic,?,,negative,,No poder,
tener que,strong,epistemic,?,,negative,high,No tener que ,"""que"" is a complementizer."
tener que,weak necessity,epistemic,?,,negative,,No tener que ,
tener que,weak,epistemic,?,,negative,,No tener que ,
