expression,force,flavor,can_express,evidence,polarity,syntactically_negated,full_form,notes
malamang,strong,epistemic,1,"tgl-modal-evid1, tgl-modal-evid2, tgl-modal-evid3, tgl-modal-evid4",positive,no,malamang + V,
malamang,weak,epistemic,?,,positive,no,malamang + V,
malamang,weak necessity,epistemic,1,"tgl-modal-evid5, tgl-modal-evid6, tgl-modal-evid7",positive,no,malamang + V,
malamang,weak,epistemic,?,,positive,no,malamang + V,
malamang,strong,deontic,?,,positive,no,malamang + V,
malamang,weak necessity,deontic,?,,positive,no,malamang + V,
malamang,weak,deontic,?,,positive,no,malamang + V,
malamang,strong,teleological,?,,positive,no,malamang + V,
malamang,weak necessity,teleological,?,,positive,no,malamang + V,
malamang,weak,teleological,?,,positive,no,malamang + V,
malamang,strong,circumstantial,?,,positive,no,malamang + V,
malamang,weak,circumstantial,?,,positive,no,malamang + V,
malamang,strong,bouletic,?,,positive,no,malamang + V,
malamang,strong,epistemic,1,tgl-modal-evid13c,negative,below,malamang + [NEG...],
malamang,weak,epistemic,?,,negative,,,
malamang,weak necessity,epistemic,?,,negative,,,
malamang,strong,deontic,?,,negative,,,
malamang,weak necessity,deontic,?,,negative,,,
malamang,weak,deontic,?,,negative,,,
malamang,strong,teleological,?,,negative,,,
malamang,weak necessity,teleological,?,,negative,,,
malamang,weak,teleological,?,,negative,,,
malamang,strong,circumstantial,?,,negative,,,
malamang,weak,circumstantial,?,,negative,,,
malamang,strong,bouletic,?,,negative,,,
sigurado,strong,epistemic,1,"tgl-modal-evid3b, tgl-modal-evid3c",positive,no,sigurado,
sigurado,weak,epistemic,?,,positive,no,sigurado,
sigurado,weak necessity,epistemic,?,,positive,no,sigurado,
sigurado,strong,deontic,?,,positive,no,sigurado,
sigurado,weak necessity,deontic,?,,positive,no,sigurado,
sigurado,weak,deontic,?,,positive,no,sigurado,
sigurado,strong,teleological,?,,positive,no,sigurado,
sigurado,weak necessity,teleological,?,,positive,no,sigurado,
sigurado,weak,teleological,?,,positive,no,sigurado,
sigurado,strong,circumstantial,?,,positive,no,sigurado,
sigurado,weak,circumstantial,?,,positive,no,sigurado,
sigurado,strong,bouletic,?,,positive,no,sigurado,
sigurado,strong,epistemic,1,"tgl-modal-evid13, tgl-modal-evid13b, tgl-modal-evid14",negative,low,sigurado + [NEG…],
sigurado,weak,epistemic,?,,negative,,,
sigurado,weak necessity,epistemic,?,,negative,,,
sigurado,strong,deontic,?,,negative,,,
sigurado,weak necessity,deontic,?,,negative,,,
sigurado,weak,deontic,?,,negative,,,
sigurado,strong,teleological,?,,negative,,,
sigurado,weak necessity,teleological,?,,negative,,,
sigurado,weak,teleological,?,,negative,,,
sigurado,strong,circumstantial,?,,negative,,,
sigurado,weak,circumstantial,?,,negative,,,
sigurado,strong,bouletic,?,,negative,,,
kailangan,strong,epistemic,?,,positive,no,kailangan + V,
kailangan,weak necessity,epistemic,?,,positive,no,kailangan + V,
kailangan,weak,epistemic,?,,positive,no,kailangan + V,
kailangan,strong,deontic,1,"tgl-modal-evid15c, tgl-modal-evid15d",positive,no,kailangan + V,Kailangan expresses relational requirements between the agent and someone else or the society
kailangan,weak necessity,deontic,1,"tgl-modal-evid17, tgl-modal-evid18",positive,no,kailangan + V,
kailangan,weak,deontic,?,,positive,no,kailangan + V,
kailangan,strong,teleological,1,"tgl-modal-evid28, tgl-modal-evid29, tgl-modal-evid30",positive,no,kailangan + V,
kailangan,weak necessity,teleological,1,"tgl-modal-evid31, tgl-modal-evid32, tgl-modal-evid33",positive,no,kailangan + V,
kailangan,weak,teleological,?,,positive,no,kailangan + V,
kailangan,strong,circumstantial,1,tgl-modal-evid40b,positive,no,kailangan + V,
kailangan,weak,circumstantial,?,,positive,no,kailangan + V,
kailangan,strong,bouletic,1,"tgl-modal-evid52, tgl-modal-evid53",positive,no,kailangan + V,
kailangan,strong,epistemic,?,,negative,,,
kailangan,weak necessity,epistemic,?,,negative,,,
kailangan,weak,epistemic,?,,negative,,,
kailangan,strong,deontic,?,,negative,,,
kailangan,strong,deontic,1,"tgl-modal-evid24, tgl-modal-evid25",negative,high,NEG kailangan + V,
kailangan,weak necessity,deontic,?,,negative,,,
kailangan,weak,deontic,?,,negative,,,
kailangan,strong,teleological,1,tgl-modal-evid37b,negative,high,NEG kailangan + V,
kailangan,weak necessity,teleological,?,,negative,,,
kailangan,weak,teleological,?,,negative,,,
kailangan,strong,circumstantial,?,,negative,,,
kailangan,weak,circumstantial,?,,negative,,,
kailangan,strong,bouletic,?,,negative,,,
pwede,strong,epistemic,?,,positive,no,pwede + [...],
pwede,weak necessity,epistemic,?,,positive,no,pwede + [...],
pwede,weak,epistemic,1,"tgl-modal-evid10, tgl-modal-evid10b",positive,no,pwede + [...],"Pwede requires the presence of alternatives (which could be contextually explicit but linguistically implicit). In the presence of such alternatives, pwede becomes more felicitous than siguro."
pwede,strong,deontic,?,,positive,no,pwede + [...],
pwede,weak necessity,deontic,?,,positive,no,pwede + [...],
pwede,weak,deontic,1,"tgl-modal-evid20, tgl-modal-evid20c, tgl-modal-evid21, tgl-modal-evid21c, tgl-modal-evid22, tgl-modal-evid23",positive,no,pwede + [...],
pwede,strong,teleological,?,,positive,no,pwede + [...],
pwede,weak necessity,teleological,?,,positive,no,pwede + [...],
pwede,weak,teleological,1,"tgl-modal-evid34, tgl-modal-evid34c, tgl-modal-evid34d, tgl-modal-evid35, tgl-modal-evid36",positive,no,pwede + [...],
pwede,strong,circumstantial,?,,positive,no,pwede + [...],
pwede,weak,circumstantial,1,tgl-modal-evid43,positive,no,pwede + [...],strictly nonagentive when used for Circ. Poss.
pwede,strong,bouletic,?,,positive,no,pwede + [...],
pwede,strong,epistemic,?,,negative,,,
pwede,weak necessity,epistemic,?,,negative,,,
