ref,context,premise,example,judgment,comment,index
tel-modal-evid1,epi-nec-1,na,tel-modal-1,felicitous,,1
tel-modal-evid1b,epi-nec-1,na,tel-modal-1b,felicitous,,2
tel-modal-evid2,epi-nec-2,na,tel-modal-2,felicitous,,3
tel-modal-evid2b,epi-nec-2,na,tel-modal-2b,felicitous,,4
tel-modal-evid3,epi-nec-3,na,tel-modal-3,felicitous,,5
tel-modal-evid3b,epi-nec-3,na,tel-modal-3b,felicitous,,6
tel-modal-evid4,epi-nec-4,na,tel-modal-4,felicitous,,7
tel-modal-evid5,epi-wn-1,na,tel-modal-5,felicitous,,8
tel-modal-evid6,epi-wn-2,na,tel-modal-6,felicitous,,9
tel-modal-evid7,epi-wn-3,na,tel-modal-7,felicitous,,10
tel-modal-evid8,epi-pos-1,na,tel-modal-8,felicitous,,11
tel-modal-evid9,epi-pos-2,na,tel-modal-9,felicitous,,12
tel-modal-evid10,epi-pos-3,na,tel-modal-10,felicitous,,13
tel-modal-evid11,epi-pos-4,na,tel-modal-11,felicitous,,14
tel-modal-evid12,epi-nnec-1,na,tel-modal-12,felicitous,,15
tel-modal-evid13,epi-imp-1,na,tel-modal-13,felicitous,,16
tel-modal-evid14,epi-imp-2,na,tel-modal-14,felicitous,,17
tel-modal-evid15,deo-nec-1,na,tel-modal-15,felicitous,,18
tel-modal-evid15b,deo-nec-1,na,tel-modal-15b,felicitous,,19
tel-modal-evid16,deo-nec-2,na,tel-modal-16,felicitous,,20
tel-modal-evid17,deo-wn-1,na,tel-modal-17,felicitous,,21
tel-modal-evid17b,deo-wn-1,na,tel-modal-17b,felicitous,,22
tel-modal-evid18,deo-wn-2,na,tel-modal-18,felicitous,,23
tel-modal-evid19,deo-wn-3,na,tel-modal-19,felicitous,,24
tel-modal-evid19b,deo-wn-3,na,tel-modal-19b,felicitous,,25
tel-modal-evid20,deo-pos-1,na,tel-modal-20,felicitous,,26
tel-modal-evid20b,deo-pos-1,na,tel-modal-20b,infelicitous,,27
tel-modal-evid21,deo-pos-2,na,tel-modal-21,felicitous,,28
tel-modal-evid22,deo-pos-3,na,tel-modal-22,felicitous,,29
tel-modal-evid23,deo-pos-4,na,tel-modal-23,felicitous,,30
tel-modal-evid24,deo-pos-5,na,tel-modal-24,felicitous,,31
tel-modal-evid25,deo-nnec-1,na,tel-modal-25,felicitous,,32
tel-modal-evid26,deo-nnec-2,na,tel-modal-26,felicitous,,33
tel-modal-evid27,deo-imp-1,na,tel-modal-27,felicitous,,34
tel-modal-evid27b,deo-imp-1,na,tel-modal-27b,felicitous,,35
tel-modal-evid28,deo-imp-2,na,tel-modal-28,felicitous,,36
tel-modal-evid28b,deo-imp-2,na,tel-modal-28b,felicitous,,37
tel-modal-evid28c,deo-imp-2,na,tel-modal-28c,felicitous,,38
tel-modal-evid29,tel-nec-1,na,tel-modal-29,felicitous,,39
tel-modal-evid30,tel-nec-2,na,tel-modal-30,felicitous,,40
tel-modal-evid31,tel-nec-3,na,tel-modal-31,felicitous,,41
tel-modal-evid31b,tel-nec-3,na,tel-modal-31b,infelicitous,,42
tel-modal-evid32,tel-wn-1,na,tel-modal-32,felicitous,,43
tel-modal-evid33,tel-wn-2,na,tel-modal-33,felicitous,,44
tel-modal-evid34,tel-wn-3,na,tel-modal-34,felicitous,,45
tel-modal-evid35,tel-pos-1,na,tel-modal-35,felicitous,,46
tel-modal-evid36,tel-pos-2,na,tel-modal-36,felicitous,,47
tel-modal-evid37,tel-pos-3,na,tel-modal-37,felicitous,,48
tel-modal-evid38,tel-nnec-1,na,tel-modal-38,felicitous,,49
tel-modal-evid39,tel-imp-1,na,tel-modal-39,felicitous,,50
tel-modal-evid39b,tel-imp-1,na,tel-modal-39b,felicitous,,51
tel-modal-evid40,tel-imp-2,na,tel-modal-40,felicitous,,52
tel-modal-evid40b,tel-imp-2,na,tel-modal-40b,felicitous,,53
tel-modal-evid41,cir-nec-1,na,tel-modal-41,felicitous,,54
tel-modal-evid42,cir-nec-2,na,tel-modal-42,felicitous,,55
tel-modal-evid43,cir-nec-3,na,tel-modal-43,felicitous,,56
tel-modal-evid44,cir-pos-1,na,tel-modal-44,felicitous,,57
tel-modal-evid44b,cir-pos-1,na,tel-modal-44b,felicitous,,58
tel-modal-evid45,cir-pos-2,na,tel-modal-45,felicitous,,59
tel-modal-evid45b,cir-pos-2,na,tel-modal-45b,felicitous,,60
tel-modal-evid45c,cir-pos-2,na,tel-modal-45c,felicitous,,61
tel-modal-evid46,cir-pos-3,na,tel-modal-46,felicitous,,62
tel-modal-evid46b,cir-pos-3,na,tel-modal-46b,felicitous,,63
tel-modal-evid47,cir-pos-4,na,tel-modal-47,felicitous,,64
tel-modal-evid48,cir-pos-5,na,tel-modal-48,felicitous,,65
tel-modal-evid49,cir-nnec-1,na,tel-modal-49,felicitous,,66
tel-modal-evid50,cir-imp-3,na,tel-modal-50,felicitous,,67
tel-modal-evid50b,cir-imp-3,na,tel-modal-50b,ungrammatical,,68
tel-modal-evid51,cir-imp-2,na,tel-modal-51,felicitous,,69
tel-modal-evid52,bou-nec-1,na,tel-modal-52,felicitous,,70
