expression,force,flavor,can_express,evidence,polarity,syntactically_negated,full_form,notes
tappakuNdaa,strong,epistemic,1,"tel-modal-evid1, tel-modal-evid2, tel-modal-evid3, tel-modal-evid4",positive,no,tappakuNdaa,Adverbial element
tappakuNdaa,weak necessity,epistemic,?,,positive,no,tappakuNdaa,Adverbial element
tappakuNdaa,weak,epistemic,?,,positive,no,tappakuNdaa,Adverbial element
tappakuNdaa,strong,deontic,?,,positive,no,tappakuNdaa,Adverbial element
tappakuNdaa,weak necessity,deontic,?,,positive,no,tappakuNdaa,Adverbial element
tappakuNdaa,weak,deontic,?,,positive,no,tappakuNdaa,Adverbial element
tappakuNdaa,strong,teleological,0,,positive,no,tappakuNdaa,Adverbial element
tappakuNdaa,weak necessity,teleological,?,,positive,no,tappakuNdaa,Adverbial element
tappakuNdaa,weak,teleological,?,,positive,no,tappakuNdaa,Adverbial element
tappakuNdaa,strong,circumstantial,?,,positive,no,tappakuNdaa,Adverbial element
tappakuNdaa,weak,circumstantial,?,,positive,no,tappakuNdaa,Adverbial element
tappakuNdaa,strong,bouletic,?,,positive,no,tappakuNdaa,Adverbial element
V-ccu,strong,epistemic,?,,positive,no,V-ccu,verbal suffix
V-ccu,weak necessity,epistemic,?,,positive,no,V-ccu,verbal suffix
V-ccu,weak,epistemic,1,"tel-modal-evid8, tel-modal-evid9, tel-modal-evid10, tel-modal-evid11",positive,no,V-ccu,verbal suffix
V-ccu,strong,deontic,?,,positive,no,V-ccu,verbal suffix
V-ccu,weak necessity,deontic,?,,positive,no,V-ccu,verbal suffix
V-ccu,weak,deontic,1,"tel-modal-evid20, tel-modal-evid21, tel-modal-evid22, tel-modal-evid23, tel-modal-evid24",positive,no,V-ccu,verbal suffix
V-ccu,strong,teleological,?,,positive,no,V-ccu,verbal suffix
V-ccu,weak necessity,teleological,?,,positive,no,V-ccu,verbal suffix
V-ccu,weak,teleological,1,"tel-modal-evid35, tel-modal-evid36, tel-modal-evid37",positive,no,V-ccu,verbal suffix
V-ccu,strong,circumstantial,?,,positive,no,V-ccu,verbal suffix
V-ccu,weak,circumstantial,1,"tel-modal-evid44, tel-modal-evid45c, tel-modal-evid46b",positive,no,V-ccu,verbal suffix
V-ccu,strong,bouletic,?,,positive,no,V-ccu,verbal suffix
v-anakuntaa,strong,epistemic,?,,positive,no,v-anakuntaa,verbal suffix
