ref,context,premise,example,judgment,comment,index
vie-modal-evid1,epi-nec-1,na,vie-modal-1,felicitous,,1
vie-modal-evid2,epi-nec-2,na,vie-modal-2,felicitous,,2
vie-modal-evid2b,epi-nec-2,na,vie-modal-2b,felicitous,,3
vie-modal-evid2c,epi-nec-2,na,vie-modal-2c,felicitous,,4
vie-modal-evid3,epi-nec-3,na,vie-modal-3,felicitous,,5
vie-modal-evid3b,epi-nec-3,na,vie-modal-3b,felicitous,,6
vie-modal-evid3c,epi-nec-3,na,vie-modal-3c,felicitous,,7
vie-modal-evid3d,epi-nec-3,na,vie-modal-3d,felicitous,,8
vie-modal-evid4,epi-nec-4,na,vie-modal-4,felicitous,,9
vie-modal-evid5,epi-wn-1,na,vie-modal-5,felicitous,,10
vie-modal-evid5b,epi-wn-1,na,vie-modal-5b,felicitous,,11
vie-modal-evid5c,epi-wn-1,na,vie-modal-5c,infelicitous,,12
vie-modal-evid6,epi-wn-2,na,vie-modal-6,felicitous,,13
vie-modal-evid6b,epi-wn-2,na,vie-modal-6b,felicitous,,14
vie-modal-evid6c,epi-wn-2,na,vie-modal-6c,infelicitous,,15
vie-modal-evid7,epi-wn-3,na,vie-modal-7,felicitous,,16
vie-modal-evid7b,epi-wn-3,na,vie-modal-7b,felicitous,,17
vie-modal-evid8,epi-pos-1,na,vie-modal-8,felicitous,,18
vie-modal-evid8b,epi-pos-1,na,vie-modal-8b,infelicitous,,19
vie-modal-evid9,epi-pos-2,na,vie-modal-9,felicitous,,20
vie-modal-evid10,epi-pos-3,na,vie-modal-10,felicitous,,21
vie-modal-evid10b,epi-pos-3,na,vie-modal-10b,ungrammatical,,22
vie-modal-evid11,epi-pos-4,na,vie-modal-11,felicitous,,23
vie-modal-evid12,epi-nnec-1,na,vie-modal-12,felicitous,,24
vie-modal-evid13,epi-imp-1,na,vie-modal-13,felicitous,,25
vie-modal-evid14,epi-imp-2,na,vie-modal-14,felicitous,,26
vie-modal-evid14b,epi-imp-2,na,vie-modal-14b,felicitous,,27
vie-modal-evid15,deo-nec-1,na,vie-modal-15,felicitous,,28
vie-modal-evid15b,deo-nec-1,na,vie-modal-15b,felicitous,,29
vie-modal-evid15c,deo-nec-1,na,vie-modal-15c,infelicitous,,30
vie-modal-evid16,deo-nec-2,na,vie-modal-16,felicitous,,31
vie-modal-evid17,deo-wn-1,na,vie-modal-17,felicitous,,32
vie-modal-evid17b,deo-wn-1,na,vie-modal-17b,felicitous,,33
vie-modal-evid18,deo-wn-2,na,vie-modal-18,felicitous,,34
vie-modal-evid18b,deo-wn-2,na,vie-modal-18b,felicitous,,35
vie-modal-evid19,deo-wn-3,na,vie-modal-19,felicitous,,36
vie-modal-evid19b,deo-wn-3,na,vie-modal-19b,felicitous,preferred,37
vie-modal-evid20,deo-pos-1,na,vie-modal-20,felicitous,,38
vie-modal-evid20b,deo-pos-1,na,vie-modal-20b,felicitous,,39
vie-modal-evid20c,deo-pos-1,na,vie-modal-20c,felicitous,,40
vie-modal-evid21,deo-pos-2,na,vie-modal-21,felicitous,,41
vie-modal-evid21b,deo-pos-2,na,vie-modal-21b,felicitous,,42
vie-modal-evid21c,deo-pos-2,na,vie-modal-21c,felicitous,,43
vie-modal-evid22,deo-pos-6,na,vie-modal-22,felicitous,,44
vie-modal-evid22b,deo-pos-6,na,vie-modal-22b,infelicitous,,45
vie-modal-evid22c,deo-pos-6,na,vie-modal-22c,felicitous,,46
vie-modal-evid23,deo-pos-3,na,vie-modal-23,felicitous,,47
vie-modal-evid23b,deo-pos-3,na,vie-modal-23b,felicitous,,48
vie-modal-evid24,deo-pos-4,na,vie-modal-24,felicitous,,49
vie-modal-evid24b,deo-pos-4,na,vie-modal-24b,felicitous,,50
vie-modal-evid25,deo-pos-5,na,vie-modal-25,felicitous,,51
vie-modal-evid25b,deo-pos-5,na,vie-modal-25b,felicitous,,52
vie-modal-evid26,deo-nnec-1,na,vie-modal-26,felicitous,,53
vie-modal-evid26b,deo-nnec-1,na,vie-modal-26b,felicitous,,54
vie-modal-evid27,deo-nnec-2,na,vie-modal-27,felicitous,,55
vie-modal-evid27b,deo-nnec-2,na,vie-modal-27b,felicitous,,56
vie-modal-evid28,deo-imp-1,na,vie-modal-28,felicitous,,57
vie-modal-evid29,deo-imp-2,na,vie-modal-29,felicitous,,58
vie-modal-evid30,tel-nec-1,na,vie-modal-30,felicitous,,59
vie-modal-evid30b,tel-nec-1,na,vie-modal-30b,felicitous,,60
vie-modal-evid31,tel-nec-2,na,vie-modal-31,felicitous,,61
vie-modal-evid31b,tel-nec-2,na,vie-modal-31b,felicitous,,62
vie-modal-evid32,tel-nec-3,na,vie-modal-32,felicitous,,63
vie-modal-evid32b,tel-nec-3,na,vie-modal-32b,felicitous,,64
vie-modal-evid33,tel-wn-1,na,vie-modal-33,felicitous,,65
vie-modal-evid33b,tel-wn-1,na,vie-modal-33b,infelicitous,,66
vie-modal-evid34,tel-wn-2,na,vie-modal-34,felicitous,,67
vie-modal-evid35,tel-wn-3,na,vie-modal-35,felicitous,,68
vie-modal-evid36,tel-pos-1,na,vie-modal-36,felicitous,,69
vie-modal-evid37,tel-pos-2,na,vie-modal-37,felicitous,,70
vie-modal-evid38,tel-pos-3,na,vie-modal-38,felicitous,,71
vie-modal-evid39,tel-nnec-1,na,vie-modal-39,felicitous,,72
vie-modal-evid40,tel-imp-1,na,vie-modal-40,felicitous,,73
vie-modal-evid41,tel-imp-2,na,vie-modal-41,felicitous,,74
vie-modal-evid42,cir-nec-1,na,vie-modal-42,felicitous,slightly preferred,75
vie-modal-evid42b,cir-nec-1,na,vie-modal-42b,felicitous,,76
vie-modal-evid43,cir-nec-2,na,vie-modal-43,felicitous,slightly preferred,77
vie-modal-evid43b,cir-nec-2,na,vie-modal-43b,felicitous,,78
vie-modal-evid44,cir-nec-3,na,vie-modal-44,felicitous,,79
vie-modal-evid44b,cir-nec-3,na,vie-modal-44b,felicitous,,80
vie-modal-evid45,cir-pos-1,na,vie-modal-45,felicitous,,81
vie-modal-evid46,cir-pos-2,na,vie-modal-46,felicitous,,82
vie-modal-evid47,cir-pos-3,na,vie-modal-47,felicitous,,83
vie-modal-evid47b,cir-pos-3,na,vie-modal-47b,felicitous,,84
vie-modal-evid48,cir-pos-4,na,vie-modal-48,felicitous,,85
vie-modal-evid49,cir-pos-5,na,vie-modal-49,felicitous,,86
vie-modal-evid49b,cir-pos-5,na,vie-modal-49b,felicitous,,87
vie-modal-evid49c,cir-pos-5,na,vie-modal-49c,felicitous,,88
vie-modal-evid50,cir-nnec-1,na,vie-modal-50,felicitous,,89
vie-modal-evid51,cir-imp-1,na,vie-modal-51,felicitous,,90
vie-modal-evid51b,cir-imp-1,na,vie-modal-51b,felicitous,,91
vie-modal-evid52,cir-imp-2,na,vie-modal-52,felicitous,,92
vie-modal-evid53,cir-imp-5,na,vie-modal-53,felicitous,,93
vie-modal-evid54,bou-nec-1,na,vie-modal-54,felicitous,,94
vie-modal-evid54b,bou-nec-1,na,vie-modal-54b,felicitous,,95
vie-modal-evid54c,bou-nec-1,na,vie-modal-54c,felicitous,,96
vie-modal-evid54d,bou-nec-1,na,vie-modal-54d,felicitous,,97
vie-modal-evid55,bou-nec-2,na,vie-modal-55,felicitous,,98
vie-modal-evid55b,bou-nec-2,na,vie-modal-55b,infelicitous,,99
vie-modal-evid56,bou-nec-3,na,vie-modal-56,felicitous,,100
vie-modal-evid56b,bou-nec-3,na,vie-modal-56b,infelicitous,,101
